sequence,y_true,confidence
9 z -1 w -1 v -1 w -1 v -1 z -1 a -2,1,"[0.5791379692671073, 0.42086203073289274]"
9 b -1 c -1 z -1 w -1 z -1 z -1 v -1 v -2,0,"[0.31775282088268264, 0.6822471791173174]"
9 v -1 v -1 z -1 z -1 z -1 v -2,1,"[0.05362777769748628, 0.9463722223025137]"
9 w -1 z -1 w -1 w -1 w -1 z -2,0,"[0.98117309822836, 0.018826901771640016]"
9 w -1 v -1 z -1 v -1 z -1 w -2,0,"[0.9561128777279133, 0.043887122272086736]"
9 w -1 z -1 w -1 b -1 c -1 z -2,0,"[0.8276857971529546, 0.17231420284704535]"
9 z -1 v -1 v -2,0,"[0.9333492246935191, 0.06665077530648086]"
9 z -1 w -1 z -1 w -1 z -2,1,"[0.0951592143604274, 0.9048407856395726]"
9 w -1 z -1 w -1 z -1 z -2,1,"[0.07476142612627967, 0.9252385738737203]"
9 z -1 z -1 z -1 w -2,1,"[0.08124993577103456, 0.9187500642289654]"
9 z -1 v -1 z -2,1,"[0.04300302788181587, 0.9569969721181841]"
9 v -1 a -1 w -1 v -1 w -2,1,"[0.8399291642429992, 0.16007083575700076]"
9 v -1 z -1 z -2,0,"[0.9016598787594365, 0.0983401212405634]"
9 w -1 z -1 v -2,0,"[0.9803627707102938, 0.019637229289706196]"
9 z -1 z -1 v -2,1,"[0.0008343991314552213, 0.9991656008685448]"
9 w -1 z -1 v -1 w -2,1,"[0.013222104147264546, 0.9867778958527355]"
9 a -1 w -1 w -1 v -1 z -1 z -1 z -2,1,"[0.4791921564171714, 0.5208078435828286]"
9 w -1 v -1 v -2,0,"[0.9048451161135664, 0.09515488388643352]"
9 v -1 v -1 v -1 z -1 v -2,1,"[0.023088300680260576, 0.9769116993197394]"
9 v -1 w -1 w -2,0,"[0.956929376653256, 0.0430706233467441]"
9 a -1 w -1 v -1 w -1 w -2,0,"[0.8550627099739929, 0.14493729002600708]"
9 w -1 w -1 v -1 v -2,0,"[0.9786843521674197, 0.0213156478325803]"
9 w -1 a -1 z -1 z -1 z -1 w -1 v -2,0,"[0.6633796375060231, 0.33662036249397687]"
9 z -1 v -1 v -2,0,"[0.9296867427974453, 0.07031325720255464]"
9 w -1 v -1 v -1 a -1 w -1 w -2,0,"[0.9422177285051744, 0.05778227149482562]"
9 v -1 z -1 w -1 v -1 v -1 v -2,0,"[0.9057909182871022, 0.09420908171289782]"
9 v -1 v -1 w -1 z -1 w -1 z -2,0,"[0.9466298178140542, 0.0533701821859458]"
9 v -1 z -1 v -1 z -2,1,"[0.06237533921109595, 0.937624660788904]"
9 v -1 z -1 w -2,1,"[0.0329449945368705, 0.9670550054631295]"
9 z -1 z -1 v -2,1,"[0.09166134260123526, 0.9083386573987647]"
9 w -1 w -1 z -2,1,"[0.037541872352255146, 0.9624581276477449]"
