pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'O'}, {'X'}]",0.5579176820262222,0.8597708807580553,466,"{0.0: 249, 1.0: 217}",0.0019980019980019,0.0899100899100899,False,0.9043943267734352
"[{'T'}, {'U'}]",0.5346932928725996,0.8790605389442598,510,"{0.0: 258, 1.0: 252}",0.0249750249750249,0.2438811188811188,False,0.9043943267734352
"[{'U'}, {'V'}]",0.5344106170183365,0.8794264150943396,515,"{1.0: 265, 0.0: 250}",0.0339660339660339,0.2438811188811188,False,0.9043943267734352
"[{'V'}, {'N'}]",0.5325919169002499,0.8811809969889595,489,"{0.0: 245, 1.0: 244}",0.0329670329670329,0.2438811188811188,False,0.9043943267734352
"[{'W'}, {'W'}]",0.5323977259941876,0.881460970464135,493,"{0.0: 237, 1.0: 256}",0.0439560439560439,0.2438811188811188,False,0.9043943267734352
"[{'V'}, {'W'}]",0.5310987214750893,0.8828040633293676,468,"{0.0: 223, 1.0: 245}",0.0539460539460539,0.2438811188811188,False,0.9043943267734352
"[{'V'}, {'T'}]",0.5309479802533654,0.883528880866426,517,"{0.0: 240, 1.0: 277}",0.0539460539460539,0.2438811188811188,False,0.9043943267734352
"[{'X'}, {'T'}]",0.5307928127418143,0.8836190714553873,506,"{0.0: 262, 1.0: 244}",0.0609390609390609,0.2438811188811188,False,0.9043943267734352
"[{'M'}, {'U'}]",0.5306251406008075,0.8835566126831997,479,"{1.0: 226, 0.0: 253}",0.0439560439560439,0.2438811188811188,False,0.9043943267734352
"[{'O'}, {'U'}]",0.5296632512557307,0.8846841704718418,459,"{0.0: 219, 1.0: 240}",0.0709290709290709,0.2438811188811188,False,0.9043943267734352
"[{'O'}, {'W'}]",0.5281849737091471,0.8868376068376068,446,"{1.0: 221, 0.0: 225}",0.1028971028971029,0.2438811188811188,False,0.9043943267734352
"[{'U'}, {'Y'}]",0.5273609582123332,0.8887749234618552,508,"{0.0: 267, 1.0: 241}",0.1158841158841158,0.2438811188811188,False,0.9043943267734352
"[{'O'}, {'N'}]",0.5269863829420042,0.8891645096347426,472,"{1.0: 228, 0.0: 244}",0.1198801198801198,0.2438811188811188,False,0.9043943267734352
"[{'U'}, {'U'}]",0.5268341735951496,0.8897214606181455,508,"{0.0: 272, 1.0: 236}",0.1098901098901098,0.2438811188811188,False,0.9043943267734352
"[{'W'}, {'M'}]",0.5265620760219987,0.8899953682260306,475,"{0.0: 221, 1.0: 254}",0.1418581418581418,0.2438811188811188,False,0.9043943267734352
"[{'M'}, {'N'}]",0.5263255551024488,0.890450643776824,473,"{0.0: 240, 1.0: 233}",0.1578421578421578,0.2438811188811188,False,0.9043943267734352
"[{'O'}, {'O'}]",0.5258458785863522,0.8915379906128835,485,"{0.0: 244, 1.0: 241}",0.1828171828171828,0.2438811188811188,False,0.9043943267734352
"[{'O'}, {'P'}]",0.5257849150434606,0.8916177349600928,477,"{0.0: 238, 1.0: 239}",0.1728271728271728,0.2438811188811188,False,0.9043943267734352
"[{'W'}, {'X'}]",0.525775727289997,0.8919578161991534,528,"{0.0: 263, 1.0: 265}",0.1568431568431568,0.2438811188811188,False,0.9043943267734352
"[{'M'}, {'Y'}]",0.5255096495091417,0.8920388427430681,447,"{1.0: 234, 0.0: 213}",0.1688311688311688,0.2438811188811188,False,0.9043943267734352
"[{'Z'}, {'W'}]",0.5251625169267075,0.8929525335775335,458,"{0.0: 224, 1.0: 234}",0.1898101898101898,0.2438811188811188,False,0.9043943267734352
"[{'U'}, {'O'}]",0.5251444728931365,0.8932000330496572,492,"{0.0: 245, 1.0: 247}",0.1968031968031968,0.2438811188811188,False,0.9043943267734352
"[{'W'}, {'T'}]",0.5249901213536565,0.8936476316954405,503,"{1.0: 252, 0.0: 251}",0.1898101898101898,0.2438811188811188,False,0.9043943267734352
"[{'M'}, {'X'}]",0.5248168825477899,0.8939162112932604,469,"{1.0: 244, 0.0: 225}",0.2087912087912088,0.2438811188811188,False,0.9043943267734352
"[{'M'}, {'O'}]",0.5248150076409785,0.8940033855992339,484,"{0.0: 251, 1.0: 233}",0.2067932067932067,0.2438811188811188,False,0.9043943267734352
"[{'V'}, {'Z'}]",0.5247906480355655,0.8941007097897415,490,"{0.0: 228, 1.0: 262}",0.2047952047952048,0.2438811188811188,False,0.9043943267734352
"[{'O'}, {'Y'}]",0.5247820570743182,0.893994104642594,466,"{1.0: 230, 0.0: 236}",0.2017982017982018,0.2438811188811188,False,0.9043943267734352
"[{'X'}, {'Z'}]",0.5247819229669817,0.8939720332577474,462,"{0.0: 252, 1.0: 210}",0.2117882117882117,0.2438811188811188,False,0.9043943267734352
"[{'U'}, {'V'}, {'W'}]",0.4683907184818436,0.7843749999999999,36,"{1.0: 20, 0.0: 16}",0.0189810189810189,0.2438811188811188,False,0.9043943267734352
"[{'N'}, {'X'}, {'Z'}]",0.4337669523868507,0.8148148148148149,30,"{0.0: 21, 1.0: 9}",0.0869130869130869,0.2438811188811188,False,0.9043943267734352
"[{'X'}, {'Z'}, {'X'}]",0.4334262080818841,0.8214285714285714,40,"{0.0: 26, 1.0: 14}",0.0639360639360639,0.2438811188811188,False,0.9043943267734352
"[{'O'}, {'N'}, {'U'}]",0.4236243069168514,0.8291666666666667,31,"{1.0: 15, 0.0: 16}",0.0919080919080919,0.2438811188811188,False,0.9043943267734352
"[{'V'}, {'O'}, {'U'}]",0.4176721592248711,0.8455882352941176,49,"{0.0: 32, 1.0: 17}",0.1268731268731268,0.2438811188811188,False,0.9043943267734352
"[{'M'}, {'N'}, {'N'}]",0.4139379942225081,0.85,44,"{0.0: 20, 1.0: 24}",0.1398601398601398,0.2438811188811188,False,0.9043943267734352
"[{'U'}, {'V'}, {'U'}]",0.4139103503406716,0.8464285714285714,34,"{0.0: 20, 1.0: 14}",0.1448551448551448,0.2438811188811188,False,0.9043943267734352
"[{'W'}, {'N'}, {'X'}]",0.4135309888702349,0.8518518518518519,48,"{0.0: 30, 1.0: 18}",0.1168831168831168,0.2438811188811188,False,0.9043943267734352
"[{'P'}, {'U'}, {'T'}]",0.4074464183639835,0.8622222222222222,43,"{1.0: 18, 0.0: 25}",0.1848151848151848,0.2438811188811188,False,0.9043943267734352
"[{'W'}, {'M'}, {'T'}]",0.4073442293090563,0.8614130434782609,39,"{0.0: 23, 1.0: 16}",0.1968031968031968,0.2438811188811188,False,0.9043943267734352
"[{'P'}, {'P'}, {'N'}]",0.4063511445815317,0.8613445378151261,31,"{0.0: 14, 1.0: 17}",0.2167832167832167,0.2438811188811188,False,0.9043943267734352
"[{'X'}, {'Y'}, {'W'}]",0.4059596879160199,0.8651960784313726,41,"{1.0: 24, 0.0: 17}",0.2387612387612387,0.2620550181525791,False,0.9043943267734352
"[{'M'}, {'V'}, {'M'}]",0.4054418940665195,0.8654970760233918,37,"{1.0: 19, 0.0: 18}",0.2147852147852147,0.2438811188811188,False,0.9043943267734352
"[{'U'}, {'O'}, {'V'}]",0.4010595747665265,0.8797953964194374,40,"{1.0: 23, 0.0: 17}",0.2857142857142857,0.3061224489795918,False,0.9043943267734352
"[{'T'}, {'U'}, {'X'}]",0.4009448761455338,0.8809523809523809,45,"{1.0: 21, 0.0: 24}",0.3016983016983017,0.3157307808470599,False,0.9043943267734352
"[{'Z'}, {'W'}, {'O'}]",0.3988831405523403,0.891111111111111,43,"{1.0: 18, 0.0: 25}",0.3656343656343656,0.3656343656343656,False,0.9043943267734352
"[{'X'}, {'V'}, {'V'}]",0.3986431716988725,0.8928571428571428,42,"{1.0: 28, 0.0: 14}",0.3646353646353646,0.3656343656343656,False,0.9043943267734352
