pattern,quality,support,pattern_auc,global_auc,theta
"[{'A'}, {'B'}, {'C'}]",0.7805856708797096,50,0.6464,0.9040558581031114,0.5
"[{'W'}, {'U'}]",0.5315638733463575,1902,0.8884254754533392,0.9040558581031114,0.5
"[{'M'}, {'T'}]",0.530913780423587,1969,0.8891513864204488,0.9040558581031114,0.5
"[{'Y'}, {'U'}]",0.5295858024705689,1981,0.8904592991254358,0.9040558581031114,0.5
"[{'Y'}, {'N'}]",0.5295232193751197,1943,0.8904571944826183,0.9040558581031114,0.5
"[{'M'}, {'Y'}]",0.5293409726189207,1996,0.8907349109039147,0.9040558581031114,0.5
"[{'P'}, {'U'}]",0.5287358973295699,1829,0.8910938004810282,0.9040558581031114,0.5
"[{'W'}, {'T'}]",0.5283761040241681,1894,0.8916073825503357,0.9040558581031114,0.5
"[{'T'}, {'Y'}]",0.5280283017413151,1931,0.892065739787161,0.9040558581031114,0.5
"[{'T'}, {'T'}]",0.5270196931612009,1982,0.8933737223064508,0.9040558581031114,0.5
"[{'T'}, {'O'}, {'V'}, {'Z'}]",0.47051800066227256,45,0.728,0.9040558581031114,0.5
"[{'N'}, {'Y'}, {'O'}]",0.4389826673461785,359,0.8525059072254696,0.9040558581031114,0.5
"[{'Y'}, {'Y'}, {'P'}]",0.4265353040112899,368,0.8612927302582475,0.9040558581031114,0.5
"[{'Y'}, {'W'}, {'N'}]",0.42631528905019545,367,0.8614285714285714,0.9040558581031114,0.5
"[{'O'}, {'M'}, {'Y'}]",0.4231817963725334,395,0.8645833333333331,0.9040558581031114,0.5
"[{'T'}, {'T'}, {'T'}]",0.4221714299130994,370,0.8647440392706872,0.9040558581031114,0.5
"[{'O'}, {'V'}, {'Z'}]",0.4214382049286889,354,0.8649131767109295,0.9040558581031114,0.5
"[{'O'}, {'Y'}, {'N'}]",0.42082089413813406,371,0.8658810325476991,0.9040558581031114,0.5
"[{'O'}, {'T'}, {'Y'}]",0.41847931259343896,353,0.8674345958609918,0.9040558581031114,0.5
"[{'W'}, {'M'}, {'N'}]",0.41778759358504824,355,0.8681073500350608,0.9040558581031114,0.5
"[{'T'}, {'Y'}, {'O'}]",0.41730729318167525,340,0.8681596344882488,0.9040558581031114,0.5
"[{'W'}, {'V'}, {'T'}]",0.41636176323199736,364,0.8696387580041078,0.9040558581031114,0.5
"[{'M'}, {'X'}, {'O'}]",0.416311396136981,405,0.8705908181685125,0.9040558581031114,0.5
"[{'M'}, {'X'}, {'Y'}]",0.4158470562570141,375,0.8703746002740977,0.9040558581031114,0.5
"[{'U'}, {'Y'}, {'O'}]",0.4156368763642124,395,0.8710049761452829,0.9040558581031114,0.5
"[{'M'}, {'M'}, {'X'}, {'Y'}]",0.41525073836329873,40,0.7552083333333334,0.9040558581031114,0.5
"[{'M'}, {'Y'}, {'O'}]",0.41511423766677513,378,0.8711366181410974,0.9040558581031114,0.5
"[{'M'}, {'Y'}, {'T'}]",0.41443761294069426,363,0.8714633404320049,0.9040558581031114,0.5
"[{'O'}, {'P'}, {'N'}]",0.4141045338814384,348,0.8714518651625569,0.9040558581031114,0.5
"[{'T'}, {'N'}, {'U'}]",0.41392070576572104,368,0.8720875221762271,0.9040558581031114,0.5
"[{'X'}, {'X'}, {'U'}]",0.4138643470256598,335,0.8713855205567912,0.9040558581031114,0.5
"[{'M'}, {'Y'}, {'U'}]",0.41382701449386816,382,0.872477516999342,0.9040558581031114,0.5
"[{'N'}, {'U'}, {'O'}]",0.41368838456362156,332,0.8714933768825985,0.9040558581031114,0.5
"[{'Y'}, {'N'}, {'O'}]",0.4135420605350758,349,0.8720471145620847,0.9040558581031114,0.5
"[{'Y'}, {'X'}, {'U'}]",0.41308736474371766,379,0.8731605351170569,0.9040558581031114,0.5
"[{'Y'}, {'Y'}, {'U'}]",0.41221027633108,366,0.8738055422838032,0.9040558581031114,0.5
"[{'U'}, {'P'}, {'X'}]",0.41162231171997643,359,0.8742919389978213,0.9040558581031114,0.5
"[{'U'}, {'P'}, {'U'}]",0.411515180085551,345,0.8741123960235342,0.9040558581031114,0.5
"[{'Y'}, {'T'}, {'T'}]",0.41094177835176016,332,0.8744688644688645,0.9040558581031114,0.5
"[{'T'}, {'Y'}, {'N'}]",0.41051479082552456,382,0.8759615384615385,0.9040558581031114,0.5
"[{'M'}, {'N'}, {'N'}]",0.4104530640987576,367,0.8757485029940121,0.9040558581031114,0.5
"[{'W'}, {'M'}, {'X'}]",0.41021742650673776,384,0.8763319253304266,0.9040558581031114,0.5
"[{'V'}, {'T'}, {'M'}]",0.41018959671609034,351,0.8757342383500849,0.9040558581031114,0.5
"[{'T'}, {'Y'}, {'Z'}]",0.40992692323574487,373,0.876462114664362,0.9040558581031114,0.5
"[{'N'}, {'Z'}, {'O'}]",0.40988482666046955,365,0.8763609022556391,0.9040558581031114,0.5
"[{'M'}, {'M'}, {'Y'}]",0.40978486398691605,353,0.8762455801992928,0.9040558581031114,0.5
"[{'Y'}, {'U'}, {'O'}]",0.40914702657919677,363,0.8771929824561403,0.9040558581031114,0.5
"[{'N'}, {'M'}, {'Y'}]",0.40894114014310323,379,0.8777263345791264,0.9040558581031114,0.5
"[{'Z'}, {'P'}, {'U'}]",0.4088959374938952,343,0.8771166269976198,0.9040558581031114,0.5
"[{'T'}, {'U'}, {'T'}]",0.4088303618882664,388,0.8780124883751826,0.9040558581031114,0.5
