pattern,quality,support,pattern_auc,global_auc,theta
"[{'A'}, {'B'}, {'C'}]",1.3173022355179564,50,0.5952,0.8998399631172461,0.5
"[{'O'}, {'U'}]",0.5790745508357064,156,0.843169488739109,0.8998399631172461,0.5
"[{'Y'}, {'N'}]",0.572084500352845,158,0.8469796506970036,0.8998399631172461,0.5
"[{'W'}, {'T'}]",0.5704685049006426,147,0.8469085523880043,0.8998399631172461,0.5
"[{'V'}, {'U'}]",0.5604993975202476,165,0.8541176470588235,0.8998399631172461,0.5
"[{'T'}, {'Y'}]",0.5558405428384958,170,0.8573604763883119,0.8998399631172461,0.5
"[{'X'}, {'V'}]",0.550034243966507,160,0.8606941838649156,0.8998399631172461,0.5
"[{'V'}, {'T'}]",0.5470871495907799,165,0.8631625967837998,0.8998399631172461,0.5
"[{'V'}, {'W'}]",0.5448472840644036,155,0.8643501503508185,0.8998399631172461,0.5
"[{'U'}, {'X'}]",0.5447367243485681,145,0.8638443935926774,0.8998399631172461,0.5
"[{'N'}, {'U'}]",0.5388719323432265,149,0.8692585895117542,0.8998399631172461,0.5
"[{'P'}, {'Z'}]",0.5372908938618307,168,0.8716676120249575,0.8998399631172461,0.5
"[{'W'}, {'V'}]",0.537005306889982,164,0.8717795979151155,0.8998399631172461,0.5
"[{'T'}, {'U'}]",0.5349538957782739,140,0.8728501228501229,0.8998399631172461,0.5
"[{'P'}, {'W'}]",0.533813546749582,159,0.874960430515986,0.8998399631172461,0.5
"[{'T'}, {'T'}]",0.533272370426709,160,0.8756218905472637,0.8998399631172461,0.5
"[{'Y'}, {'V'}]",0.5331020191556571,164,0.8759689922480621,0.8998399631172461,0.5
"[{'U'}, {'O'}]",0.5314122381997323,175,0.8783819280273181,0.8998399631172461,0.5
"[{'W'}, {'W'}]",0.5310128492317201,167,0.8786435786435787,0.8998399631172461,0.5
"[{'T'}, {'M'}]",0.5304695606600478,191,0.880039656311963,0.8998399631172461,0.5
"[{'V'}, {'P'}]",0.5303934518175912,153,0.8790157211209844,0.8998399631172461,0.5
"[{'W'}, {'X'}]",0.5301429802619865,151,0.8792982456140351,0.8998399631172461,0.5
"[{'Z'}, {'X'}]",0.5296100059156915,156,0.8802265533899717,0.8998399631172461,0.5
"[{'P'}, {'X'}]",0.5295086134287734,148,0.8801169590643275,0.8998399631172461,0.5
"[{'N'}, {'Y'}]",0.5287196479174664,173,0.882036089415567,0.8998399631172461,0.5
"[{'Z'}, {'U'}]",0.5276828229700309,159,0.8833491611269388,0.8998399631172461,0.5
"[{'T'}, {'W'}]",0.5266961707107597,182,0.8856280193236715,0.8998399631172461,0.5
"[{'O'}, {'O'}]",0.5261256754965873,158,0.8862612612612613,0.8998399631172461,0.5
"[{'V'}, {'Y'}]",0.5254500188557157,190,0.8883008670194799,0.8998399631172461,0.5
"[{'X'}, {'Y'}]",0.5251788112862489,168,0.8885853939045428,0.8998399631172461,0.5
"[{'Y'}, {'U'}]",0.5249641713697104,153,0.8888698630136986,0.8998399631172461,0.5
"[{'O'}, {'T'}]",0.5248592198341514,177,0.8895318930041153,0.8998399631172461,0.5
"[{'T'}, {'V'}]",0.5248518851454469,184,0.8896502835538751,0.8998399631172461,0.5
"[{'M'}, {'O'}, {'V'}]",0.5073769545934907,20,0.7676767676767676,0.8998399631172461,0.5
"[{'X'}, {'U'}, {'Z'}]",0.43481413698220384,23,0.8257575757575758,0.8998399631172461,0.5
"[{'O'}, {'T'}, {'U'}]",0.4256523222616089,20,0.8333333333333334,0.8998399631172461,0.5
"[{'T'}, {'X'}, {'X'}]",0.41599789397084974,20,0.8461538461538463,0.8998399631172461,0.5
"[{'M'}, {'T'}, {'O'}]",0.40043818486769045,22,0.8803418803418803,0.8998399631172461,0.5
