pattern,quality,support,pattern_auc,global_auc,dataset_size
"[{'W'}, {'N'}, {'X'}, {'P'}, {'M'}]",0.9961426544279441,21,0.5555555555555556,0.9020696794431918,5050
"[{'M'}, {'O'}, {'U'}, {'Y'}, {'O'}]",0.9577564098826558,26,0.5818181818181818,0.9020696794431918,5050
"[{'P'}, {'V'}, {'Y'}, {'U'}, {'Z'}]",0.8611896498341971,20,0.5833333333333334,0.9020696794431918,5050
"[{'M'}, {'M'}, {'V'}, {'M'}, {'T'}]",0.7362738086532196,20,0.6161616161616161,0.9020696794431918,5050
"[{'N'}, {'M'}, {'N'}, {'P'}, {'W'}]",0.6946039547647291,25,0.6428571428571428,0.9020696794431918,5050
"[{'T'}, {'N'}, {'M'}, {'Y'}, {'T'}]",0.6817762840887827,22,0.638095238095238,0.9020696794431918,5050
"[{'T'}, {'V'}, {'P'}, {'U'}, {'Y'}]",0.6693170749578847,20,0.6354166666666666,0.9020696794431918,5050
"[{'X'}, {'W'}, {'V'}, {'M'}, {'P'}]",0.6019448987243697,30,0.6799999999999999,0.9020696794431918,5050
"[{'X'}, {'W'}, {'W'}, {'T'}, {'T'}]",0.5799443678832104,25,0.6764705882352942,0.9020696794431918,5050
"[{'T'}, {'T'}, {'T'}, {'T'}, {'N'}]",0.563945559691837,23,0.676923076923077,0.9020696794431918,5050
"[{'T'}, {'Y'}]",0.5488308589302482,1583,0.8805399296354709,0.9020696794431918,5050
"[{'X'}, {'M'}, {'V'}, {'V'}]",0.5418213611976275,129,0.7793269230769231,0.9020696794431918,5050
"[{'T'}, {'M'}, {'N'}, {'P'}, {'Z'}]",0.5417658559188863,31,0.7,0.9020696794431918,5050
"[{'X'}, {'M'}, {'V'}, {'Z'}, {'Y'}]",0.5409688854613761,23,0.6846153846153845,0.9020696794431918,5050
"[{'X'}, {'O'}, {'N'}, {'P'}, {'Z'}]",0.5380492344261152,27,0.6941176470588235,0.9020696794431918,5050
"[{'W'}, {'T'}, {'M'}, {'U'}, {'W'}]",0.5376454279676854,22,0.6833333333333333,0.9020696794431918,5050
"[{'M'}, {'T'}]",0.5338162827774544,1616,0.8881646381508282,0.9020696794431918,5050
"[{'M'}, {'U'}]",0.5336285067823832,1543,0.8881242858103112,0.9020696794431918,5050
"[{'N'}, {'V'}, {'P'}, {'M'}, {'O'}]",0.5321957960284555,21,0.6826923076923077,0.9020696794431918,5050
"[{'M'}, {'Z'}, {'T'}, {'M'}, {'V'}]",0.5311639473651468,26,0.6944444444444444,0.9020696794431918,5050
"[{'P'}, {'M'}]",0.5305074598124562,1481,0.8902007988181868,0.9020696794431918,5050
"[{'P'}, {'T'}]",0.5300044307460505,1575,0.8907739045462901,0.9020696794431918,5050
"[{'T'}, {'P'}]",0.5297057997166654,1556,0.8909795368741067,0.9020696794431918,5050
"[{'M'}, {'M'}, {'V'}, {'O'}, {'T'}]",0.525182661859807,21,0.6851851851851851,0.9020696794431918,5050
"[{'M'}, {'Z'}, {'P'}, {'N'}, {'U'}]",0.5239989094824794,23,0.6904761904761905,0.9020696794431918,5050
"[{'X'}, {'N'}, {'Y'}, {'Y'}, {'W'}]",0.5235904559798616,24,0.6928571428571428,0.9020696794431918,5050
"[{'Y'}, {'T'}, {'U'}, {'M'}, {'Y'}]",0.519029178972572,24,0.6944444444444444,0.9020696794431918,5050
"[{'P'}, {'M'}, {'P'}, {'N'}, {'T'}]",0.5187422315380021,21,0.6875,0.9020696794431918,5050
"[{'M'}, {'O'}, {'U'}, {'O'}]",0.5055353214187362,119,0.7866477272727272,0.9020696794431918,5050
"[{'M'}, {'Z'}, {'M'}, {'V'}]",0.5044169031081648,102,0.7824412783981517,0.9020696794431918,5050
"[{'N'}, {'U'}, {'Y'}, {'T'}, {'P'}]",0.5033382737278298,24,0.7000000000000001,0.9020696794431918,5050
"[{'M'}, {'U'}, {'Y'}, {'Y'}]",0.494867425082244,109,0.7872053872053872,0.9020696794431918,5050
"[{'Z'}, {'O'}, {'V'}, {'V'}, {'T'}]",0.4851536618902863,23,0.7045454545454546,0.9020696794431918,5050
"[{'U'}, {'Y'}, {'M'}, {'T'}, {'V'}]",0.4796904778019362,27,0.7142857142857143,0.9020696794431918,5050
"[{'X'}, {'U'}, {'P'}, {'Y'}]",0.47587078844133734,133,0.7982735120399819,0.9020696794431918,5050
"[{'P'}, {'U'}, {'Z'}, {'W'}, {'V'}]",0.4695840305964829,22,0.7083333333333333,0.9020696794431918,5050
"[{'M'}, {'U'}, {'W'}]",0.4613624398352677,515,0.8575048262548263,0.9020696794431918,5050
"[{'P'}, {'M'}, {'T'}, {'V'}]",0.4570990514773793,108,0.7987637362637363,0.9020696794431918,5050
"[{'M'}, {'U'}, {'P'}, {'O'}, {'X'}]",0.4570487809294542,23,0.7153846153846154,0.9020696794431918,5050
"[{'Z'}, {'O'}, {'P'}, {'X'}, {'M'}]",0.4559459637374248,21,0.7115384615384616,0.9020696794431918,5050
"[{'N'}, {'X'}, {'M'}, {'Y'}]",0.45435080289195995,116,0.8014903129657228,0.9020696794431918,5050
"[{'Y'}, {'O'}, {'O'}, {'X'}, {'P'}]",0.4538294221430521,23,0.7166666666666667,0.9020696794431918,5050
"[{'W'}, {'Z'}, {'O'}, {'P'}, {'M'}]",0.4492437797477423,21,0.7142857142857143,0.9020696794431918,5050
"[{'X'}, {'Z'}, {'T'}, {'W'}, {'U'}]",0.4487303231462907,22,0.7166666666666667,0.9020696794431918,5050
"[{'U'}, {'M'}, {'N'}]",0.44621000120337106,481,0.8625216188170184,0.9020696794431918,5050
"[{'Y'}, {'Z'}, {'U'}, {'U'}, {'X'}]",0.4456034254767438,22,0.717948717948718,0.9020696794431918,5050
"[{'N'}, {'M'}, {'T'}]",0.44396531564186903,509,0.8639945186707777,0.9020696794431918,5050
"[{'M'}, {'O'}, {'U'}, {'T'}]",0.4435760200937845,122,0.8063038793103449,0.9020696794431918,5050
"[{'X'}, {'V'}, {'P'}, {'M'}, {'O'}]",0.44303558815527,22,0.71900826446281,0.9020696794431918,5050
