pattern,quality,support,pattern_auc,global_auc,theta
"[{'A'}, {'B'}, {'C'}]",1.0321860574906883,50,0.6496,0.9020696794431918,0.5
"[{'T'}, {'X'}, {'W'}, {'X'}, {'Y'}]",0.9710151592029853,21,0.5612244897959184,0.9020696794431918,0.5
"[{'P'}, {'V'}, {'P'}, {'U'}, {'W'}]",0.7352472912788236,25,0.6319444444444444,0.9020696794431918,0.5
"[{'V'}, {'T'}, {'Z'}, {'U'}, {'W'}]",0.6693170749578847,20,0.6354166666666666,0.9020696794431918,0.5
"[{'Z'}, {'P'}, {'W'}, {'U'}, {'N'}]",0.6505560431161377,21,0.6442307692307692,0.9020696794431918,0.5
"[{'V'}, {'O'}, {'M'}, {'Y'}, {'X'}]",0.6412279328440851,22,0.65,0.9020696794431918,0.5
"[{'O'}, {'M'}, {'P'}, {'O'}, {'P'}]",0.6067460349037599,20,0.6547619047619048,0.9020696794431918,0.5
"[{'X'}, {'W'}, {'V'}, {'M'}, {'P'}]",0.6019448987243697,30,0.6799999999999999,0.9020696794431918,0.5
"[{'M'}, {'M'}, {'N'}, {'P'}, {'X'}]",0.596128306550164,27,0.6758241758241759,0.9020696794431918,0.5
"[{'M'}, {'V'}, {'U'}, {'W'}, {'Z'}]",0.5958234841486626,23,0.6666666666666667,0.9020696794431918,0.5
"[{'M'}, {'X'}, {'U'}, {'P'}, {'Y'}]",0.588453286394921,21,0.6636363636363636,0.9020696794431918,0.5
"[{'Y'}, {'Z'}, {'M'}, {'T'}, {'V'}]",0.5859003109812204,24,0.6722689075630253,0.9020696794431918,0.5
"[{'P'}, {'W'}, {'T'}, {'O'}, {'Y'}]",0.5615258018164682,22,0.6752136752136753,0.9020696794431918,0.5
"[{'M'}, {'U'}, {'T'}, {'V'}, {'W'}]",0.561030666029268,21,0.6727272727272727,0.9020696794431918,0.5
"[{'T'}, {'O'}, {'V'}, {'P'}, {'M'}]",0.5586069233957529,22,0.6761904761904762,0.9020696794431918,0.5
"[{'M'}, {'Z'}, {'N'}, {'W'}, {'P'}]",0.5516354601805284,21,0.6759259259259258,0.9020696794431918,0.5
"[{'T'}, {'Y'}]",0.5488308589302482,1583,0.8805399296354709,0.9020696794431918,0.5
"[{'N'}, {'M'}, {'O'}, {'T'}]",0.5459983703195297,128,0.7780257936507936,0.9020696794431918,0.5
"[{'M'}, {'U'}, {'M'}, {'P'}, {'Z'}]",0.5435774244408262,27,0.6923076923076924,0.9020696794431918,0.5
"[{'X'}, {'M'}, {'V'}, {'V'}]",0.5418213611976275,129,0.7793269230769231,0.9020696794431918,0.5
"[{'O'}, {'M'}, {'O'}, {'V'}, {'O'}]",0.5412961902742233,20,0.6767676767676767,0.9020696794431918,0.5
"[{'M'}, {'T'}]",0.5338162827774544,1616,0.8881646381508282,0.9020696794431918,0.5
"[{'M'}, {'U'}]",0.5336285067823832,1543,0.8881242858103112,0.9020696794431918,0.5
"[{'P'}, {'M'}]",0.5305074598124562,1481,0.8902007988181868,0.9020696794431918,0.5
"[{'P'}, {'T'}]",0.5300044307460505,1575,0.8907739045462901,0.9020696794431918,0.5
"[{'T'}, {'P'}]",0.5297057997166654,1556,0.8909795368741067,0.9020696794431918,0.5
"[{'M'}, {'U'}, {'P'}, {'M'}, {'N'}]",0.5070068952644964,22,0.6942148760330579,0.9020696794431918,0.5
"[{'M'}, {'Z'}, {'M'}, {'V'}]",0.5044169031081648,102,0.7824412783981517,0.9020696794431918,0.5
"[{'X'}, {'U'}, {'N'}, {'X'}, {'Y'}]",0.5013556722280785,21,0.6938775510204082,0.9020696794431918,0.5
"[{'O'}, {'M'}, {'N'}, {'M'}, {'P'}]",0.4974115147174303,23,0.7,0.9020696794431918,0.5
"[{'T'}, {'V'}, {'P'}, {'Y'}]",0.4953698583612387,106,0.7862513426423201,0.9020696794431918,0.5
"[{'M'}, {'Y'}, {'P'}, {'Y'}]",0.4809309510613776,104,0.7901049475262368,0.9020696794431918,0.5
"[{'T'}, {'Z'}, {'U'}, {'Y'}, {'W'}]",0.4788123530451036,20,0.7000000000000001,0.9020696794431918,0.5
"[{'U'}, {'V'}, {'T'}, {'O'}, {'P'}]",0.4695840305964827,22,0.7083333333333334,0.9020696794431918,0.5
"[{'T'}, {'N'}, {'M'}, {'P'}, {'Z'}]",0.4649442622468658,24,0.7142857142857143,0.9020696794431918,0.5
"[{'M'}, {'U'}, {'W'}]",0.4613624398352677,515,0.8575048262548263,0.9020696794431918,0.5
"[{'T'}, {'V'}, {'P'}, {'Z'}]",0.447400545027844,119,0.8044217687074829,0.9020696794431918,0.5
"[{'U'}, {'M'}, {'N'}]",0.44621000120337106,481,0.8625216188170184,0.9020696794431918,0.5
"[{'N'}, {'M'}, {'T'}]",0.44396531564186903,509,0.8639945186707777,0.9020696794431918,0.5
"[{'T'}, {'U'}, {'Y'}, {'X'}]",0.43889059121954943,138,0.8107481559536354,0.9020696794431918,0.5
"[{'T'}, {'V'}, {'P'}]",0.4364007282672754,488,0.8668952880461277,0.9020696794431918,0.5
"[{'M'}, {'P'}, {'Y'}, {'N'}, {'V'}]",0.4356514494866185,28,0.7326203208556149,0.9020696794431918,0.5
"[{'M'}, {'T'}, {'U'}]",0.4335541194954716,517,0.8687069739598923,0.9020696794431918,0.5
