pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'X'}, {'M'}, {'U'}, {'X'}, {'P'}]",1.0321753790469903,0.5555555555555556,23,"{0.0: 9, 1.0: 14}",0.000999000999000999,0.004162504162504163,True,0.9020696794431918
"[{'M'}, {'O'}, {'U'}, {'Y'}, {'O'}]",0.9577564098826558,0.5818181818181818,26,"{0.0: 15, 1.0: 11}",0.000999000999000999,0.004162504162504163,True,0.9020696794431918
"[{'O'}, {'W'}, {'Z'}, {'Z'}, {'V'}]",0.7239965512812663,0.6349206349206349,25,"{0.0: 7, 1.0: 18}",0.001998001998001998,0.00555000555000555,True,0.9020696794431918
"[{'X'}, {'O'}, {'P'}, {'W'}, {'M'}]",0.7004853005882071,0.6296296296296297,21,"{1.0: 12, 0.0: 9}",0.002997002997002997,0.006243756243756244,True,0.9020696794431918
"[{'N'}, {'M'}, {'O'}, {'U'}, {'T'}]",0.6820785367344313,0.6488095238095237,26,"{0.0: 14, 1.0: 12}",0.003996003996003996,0.0074000074000074,True,0.9020696794431918
"[{'V'}, {'U'}, {'Y'}, {'T'}, {'N'}]",0.6506533610055174,0.65,23,"{0.0: 15, 1.0: 8}",0.003996003996003996,0.0074000074000074,True,0.9020696794431918
"[{'O'}, {'U'}, {'N'}, {'M'}, {'Z'}]",0.6426511408786895,0.6495726495726495,22,"{0.0: 9, 1.0: 13}",0.002997002997002997,0.006243756243756244,True,0.9020696794431918
"[{'M'}, {'U'}, {'V'}, {'X'}, {'P'}]",0.6350396744066296,0.6458333333333334,20,"{1.0: 12, 0.0: 8}",0.001998001998001998,0.00555000555000555,True,0.9020696794431918
"[{'U'}, {'M'}, {'O'}, {'N'}, {'O'}]",0.6267385778974758,0.6597222222222222,24,"{0.0: 12, 1.0: 12}",0.004995004995004995,0.00861207757759482,True,0.9020696794431918
"[{'W'}, {'X'}, {'V'}, {'P'}, {'P'}]",0.5939926324999454,0.676470588235294,27,"{0.0: 10, 1.0: 17}",0.002997002997002997,0.006243756243756244,True,0.9020696794431918
"[{'X'}, {'T'}, {'P'}, {'M'}, {'X'}]",0.5919560586747894,0.6625000000000001,21,"{0.0: 16, 1.0: 5}",0.016983016983016984,0.018870018870018872,True,0.9020696794431918
"[{'U'}, {'M'}, {'O'}, {'W'}, {'T'}]",0.588453286394921,0.6636363636363636,21,"{1.0: 11, 0.0: 10}",0.006993006993006993,0.010283833813245578,True,0.9020696794431918
"[{'X'}, {'V'}, {'N'}, {'X'}, {'M'}]",0.5791939817548541,0.6666666666666667,21,"{1.0: 6, 0.0: 15}",0.008991008991008992,0.011830274988169727,True,0.9020696794431918
"[{'U'}, {'M'}, {'U'}, {'T'}, {'N'}]",0.562165985431629,0.6749999999999999,22,"{0.0: 12, 1.0: 10}",0.001998001998001998,0.00555000555000555,True,0.9020696794431918
"[{'T'}, {'Y'}]",0.5488308589302482,0.8805399296354709,1583,"{1.0: 787, 0.0: 796}",0.002997002997002997,0.006243756243756244,True,0.9020696794431918
"[{'X'}, {'U'}, {'X'}, {'P'}]",0.5464571718540355,0.7776659959758551,127,"{0.0: 56, 1.0: 71}",0.000999000999000999,0.004162504162504163,True,0.9020696794431918
"[{'N'}, {'M'}, {'O'}, {'T'}]",0.5459983703195297,0.7780257936507936,128,"{0.0: 72, 1.0: 56}",0.000999000999000999,0.004162504162504163,True,0.9020696794431918
"[{'X'}, {'M'}, {'V'}, {'V'}]",0.5418213611976275,0.7793269230769231,129,"{0.0: 64, 1.0: 65}",0.000999000999000999,0.004162504162504163,True,0.9020696794431918
"[{'M'}, {'T'}]",0.5338162827774544,0.8881646381508282,1616,"{1.0: 774, 0.0: 842}",0.011988011988011988,0.014985014985014984,True,0.9020696794431918
"[{'M'}, {'U'}]",0.5336285067823832,0.8881242858103112,1543,"{1.0: 783, 0.0: 760}",0.016983016983016984,0.018870018870018872,True,0.9020696794431918
"[{'M'}, {'Z'}, {'T'}, {'M'}, {'V'}]",0.5311639473651468,0.6944444444444444,26,"{0.0: 18, 1.0: 8}",0.005994005994005994,0.009365634365634366,True,0.9020696794431918
