pattern,quality,support,pattern_auc,global_auc,dataset_size
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.9268322338908669,965,0.8365223357219089,0.9375935278713058,3600
"[{'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}]",0.9045178343754582,1039,0.8404878048780487,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.9000815877597335,592,0.8263157894736841,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_B_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.8488628163891434,1069,0.8466268571834791,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}]",0.8488084702556458,1286,0.8637474611862715,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}]",0.8482686028293436,1223,0.862876254180602,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.83332972360047,1099,0.8488237189816307,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.8309962797589341,1073,0.8485304169514696,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}]",0.823810141930835,1289,0.8666772151898734,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.8203412439079325,1293,0.8671417260490895,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}]",0.8160077700062882,968,0.8478030825856913,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.8122219607353146,1591,0.8716207559256887,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.8054678320091786,1455,0.8709224356650961,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.7942381378513861,1453,0.8722381017195227,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}]",0.7885981578665525,967,0.8507739938080496,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}]",0.7885145572261136,772,0.8457553475935828,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}]",0.7830082145033437,1033,0.8679075622695801,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_B_GAP_MED'}]",0.7813270383238795,1084,0.8540068599937636,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.774510510148326,1063,0.8543471286493425,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.766098846989875,1272,0.8588941203491043,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.7571267029865779,1145,0.8577877428998506,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.7521522699317216,1170,0.8587690768076057,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}]",0.7434763203093687,1058,0.8577571077571077,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.7400954558058164,976,0.8565301120448179,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}]",0.73802493807735,911,0.8553712083123848,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.7344472451403464,1609,0.8813383998311168,0.9375935278713058,3600
"[{'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.7293631376191818,1094,0.8600558659217877,0.9375935278713058,3600
"[{'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.7268579810147162,1269,0.863162499088722,0.9375935278713058,3600
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.7267172843418683,1369,0.8801001384894002,0.9375935278713058,3600
"[{'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.7254834059167486,1478,0.8813617606602475,0.9375935278713058,3600
