pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}]",1.0700419632239617,0.8205996131528046,868,"{0.0: 846, 1.0: 22}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.9342027256284708,0.8372456964006258,1021,"{0.0: 994, 1.0: 27}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}]",0.9045178343754582,0.8404878048780487,1039,"{0.0: 1025, 1.0: 14}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.8761994912922462,0.8434442270058709,1048,"{0.0: 1022, 1.0: 26}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.8656785332182046,0.8352533694751902,718,"{0.0: 699, 1.0: 19}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.7787189024106738,0.8525948717948718,1000,"{0.0: 975, 1.0: 25}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}]",0.752121605772585,0.8605834849863513,1284,"{0.0: 1256, 1.0: 28}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.6971536081121166,0.8587247630819942,833,"{0.0: 809, 1.0: 24}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}]",0.6341659411309563,0.873601598173516,1198,"{0.0: 1168, 1.0: 30}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.6096647786114247,0.8802453987730061,1492,"{0.0: 1467, 1.0: 25}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_A_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.6025793930699959,0.8701117318435754,727,"{0.0: 716, 1.0: 11}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_B_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}]",0.5981942355303668,0.8625,454,"{0.0: 440, 1.0: 14}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'DEPOSIT_B_GAP_MED'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.5937872792161596,0.871957671957672,744,"{0.0: 735, 1.0: 9}",0.001998001998001998,0.002109002109002109,True,0.9375935278713058
"[{'DEPOSIT_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}]",0.5805338222613863,0.8538461538461538,244,"{0.0: 234, 1.0: 10}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_B_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.5658562258425403,0.8835283251231527,1188,"{0.0: 1160, 1.0: 28}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'DEPOSIT_A_GAP_SHORT'}, {'DEPOSIT_D_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}]",0.5379123973849125,0.8794231835829174,616,"{0.0: 601, 1.0: 15}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_B_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.5323819889359445,0.8864087301587301,948,"{0.0: 924, 1.0: 24}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'DEPOSIT_D_GAP_LONG'}, {'DEPOSIT_D_GAP_LONG'}]",0.5095538871730892,0.8873900793989584,706,"{0.0: 689, 1.0: 17}",0.000999000999000999,0.001116530528295234,True,0.9375935278713058
"[{'DEPOSIT_D_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'DEPOSIT_C_GAP_LONG'}]",0.49478284206565937,0.8820212046018497,354,"{0.0: 341, 1.0: 13}",0.002997002997002997,0.002997002997002997,True,0.9375935278713058
