pattern,quality,support,pattern_auc,global_auc,theta
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",1.0233079322632692,948,0.8272005772005773,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.9380590362160022,746,0.8286664992466097,0.9375935278713058,0.5
"[{'DEPOSIT_C_GAP_LONG'}, {'DEPOSIT_D_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.8508477146357563,480,0.8262230275078241,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}]",0.8488084702556458,1286,0.8637474611862715,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.7942381378513861,1453,0.8722381017195227,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.7703965142428857,687,0.8452568547116293,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_B_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.7543222767268035,863,0.8522774327122152,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.7267172843418683,1369,0.8801001384894002,0.9375935278713058,0.5
"[{'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}]",0.6597273115498556,368,0.8471061590838749,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.6486548899853581,1114,0.87045924042587,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}]",0.6465170703640358,952,0.8680675808489726,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.6102977116829216,792,0.8703069657615112,0.9375935278713058,0.5
"[{'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.5765528199516317,1149,0.8813656204531284,0.9375935278713058,0.5
"[{'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.5660676719340771,1330,0.885,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_A_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.564043724756379,555,0.8725518024411013,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'DEPOSIT_D_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.5510204340591339,676,0.8781576363474068,0.9375935278713058,0.5
"[{'DEPOSIT_D_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.5442063781381622,1074,0.8858451434497062,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.5436357027386892,808,0.8821378340365682,0.9375935278713058,0.5
"[{'DEPOSIT_A_GAP_SHORT'}, {'DEPOSIT_B_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.542520314741512,771,0.8816993464052288,0.9375935278713058,0.5
"[{'DEPOSIT_A_GAP_SHORT'}, {'DEPOSIT_D_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}]",0.5379123973849125,616,0.8794231835829174,0.9375935278713058,0.5
"[{'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_A_GAP_LONG'}]",0.5325258433458336,800,0.8841613588110404,0.9375935278713058,0.5
