pattern,quality,support,pattern_auc,global_auc,theta
"[{'WITHDRAW_C_GAP_LONG'}, {'OTHER_D_GAP_LONG'}, {'OTHER_A_GAP_MED'}, {'WITHDRAW_D_GAP_SHORT'}, {'WITHDRAW_D_GAP_MED'}]",2.8884692630111317,459,0.6307634164777023,0.904040404040404,0.8
"[{'OTHER_A_GAP_LONG'}, {'WITHDRAW_D_GAP_MED'}, {'OTHER_C_GAP_MED'}, {'WITHDRAW_D_GAP_MED'}, {'OTHER_A_GAP_MED'}]",2.528141605741202,560,0.6622239517462789,0.904040404040404,0.8
"[{'WITHDRAW_A_GAP_SHORT'}, {'WITHDRAW_B_GAP_LONG'}, {'OTHER_C_GAP_SHORT'}, {'WITHDRAW_D_GAP_SHORT'}, {'WITHDRAW_C_GAP_SHORT'}, {'OTHER_C_GAP_MED'}]",2.397934293224865,214,0.6007281553398058,0.904040404040404,0.8
"[{'OTHER_A_GAP_SHORT'}, {'OTHER_D_GAP_LONG'}, {'OTHER_A_GAP_LONG'}, {'OTHER_A_GAP_LONG'}, {'WITHDRAW_B_GAP_LONG'}, {'OTHER_C_GAP_LONG'}]",2.30888787075677,413,0.6518610421836228,0.904040404040404,0.8
"[{'OTHER_C_GAP_LONG'}, {'OTHER_D_GAP_MED'}, {'WITHDRAW_D_GAP_LONG'}, {'WITHDRAW_B_GAP_LONG'}, {'WITHDRAW_B_GAP_LONG'}]",2.0604705150953526,453,0.676374877969411,0.904040404040404,0.8
"[{'OTHER_D_GAP_LONG'}, {'OTHER_A_GAP_MED'}, {'OTHER_C_GAP_MED'}, {'WITHDRAW_D_GAP_SHORT'}]",2.048392561217277,553,0.6928929466523452,0.904040404040404,0.8
"[{'OTHER_D_GAP_LONG'}, {'WITHDRAW_B_GAP_LONG'}, {'OTHER_C_GAP_LONG'}]",1.8641542801531246,651,0.7183544303797469,0.904040404040404,0.8
"[{'OTHER_D_GAP_LONG'}, {'OTHER_A_GAP_SHORT'}, {'OTHER_A_GAP_SHORT'}, {'OTHER_A_GAP_MED'}, {'OTHER_D_GAP_LONG'}]",1.8017217777739751,537,0.7017882544198334,0.904040404040404,0.8
"[{'OTHER_A_GAP_SHORT'}, {'OTHER_D_GAP_LONG'}, {'OTHER_A_GAP_LONG'}, {'OTHER_B_GAP_LONG'}, {'OTHER_B_GAP_LONG'}, {'OTHER_C_GAP_LONG'}]",1.7352508170652947,191,0.6421052631578947,0.904040404040404,0.8
"[{'OTHER_D_GAP_LONG'}, {'OTHER_C_GAP_LONG'}, {'WITHDRAW_B_GAP_LONG'}, {'OTHER_A_GAP_SHORT'}, {'OTHER_A_GAP_SHORT', 'WITHDRAW_A_GAP_SHORT'}, {'OTHER_A_GAP_SHORT'}]",1.7329471306328985,437,0.6912191582002902,0.904040404040404,0.8
