pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'TRANSFER_IN_D_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.7913083906175695,0.829598308668076,226,"{0.0: 215, 1.0: 11}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_CRIME', 'PROFILE_REGION_LOW_EDU'}, {'DEPOSIT_B_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.6822346923475342,0.7708333333333334,49,"{0.0: 48, 1.0: 1}",0.002997002997002997,0.0031883010606414863,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_B_GAP_MED'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'DEPOSIT_B_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.6319300070618198,0.8334896810506567,177,"{0.0: 164, 1.0: 13}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_OLD_MALE', 'PROFILE_REGION_LOW_INCOME'}, {'DEPOSIT_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}]",0.6276607696661913,0.7956989247311828,65,"{0.0: 62, 1.0: 3}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'DEPOSIT_C_GAP_LONG'}, {'DEPOSIT_D_GAP_LONG'}]",0.6252293813611993,0.9193284708249497,596,"{0.0: 568, 1.0: 28}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.5807046696772493,0.8857927786499216,574,"{0.0: 546, 1.0: 28}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.5479889996598499,0.9157594472940438,973,"{0.0: 932, 1.0: 41}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_REGION_HIGH_CRIME', 'PROFILE_OLD_FEMALE'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}]",0.5426066275955909,0.8817204301075268,127,"{0.0: 124, 1.0: 3}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.5319597608885877,0.8937301477696451,583,"{0.0: 557, 1.0: 26}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_OLD_FEMALE'}, {'DEPOSIT_B_GAP_SHORT'}, {'DEPOSIT_D_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}]",0.5275369644835597,0.8099999999999999,52,"{1.0: 2, 0.0: 50}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'DEPOSIT_D_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}, {'DEPOSIT_D_GAP_LONG'}]",0.5268334985315665,0.8741258741258742,222,"{0.0: 209, 1.0: 13}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'DEPOSIT_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.5182180756323579,0.9141357118663204,555,"{0.0: 521, 1.0: 34}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'DEPOSIT_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.5170134952244847,0.8876782351358622,375,"{0.0: 354, 1.0: 21}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_REGION_HIGH_CRIME', 'PROFILE_REGION_HIGH_INCOME'}, {'DEPOSIT_D_GAP_SHORT'}, {'DEPOSIT_C_GAP_LONG'}]",0.5010098858446073,0.9022346368715084,187,"{0.0: 179, 1.0: 8}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_CRIME', 'PROFILE_REGION_LOW_EDU'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}, {'CARD_WITHDRAWAL_B_GAP_MED'}, {'CARD_WITHDRAWAL_B_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}]",0.4995767823604258,0.8601036269430051,194,"{0.0: 193, 1.0: 1}",0.004995004995004995,0.00514948968557216,True,0.9694829047753603
"[{'PROFILE_REGION_HIGH_CRIME', 'PROFILE_REGION_HIGH_EDU', 'PROFILE_REGION_HIGH_INCOME'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.49684339268257993,0.9125000000000001,334,"{0.0: 320, 1.0: 14}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_INCOME', 'PROFILE_REGION_LOW_CRIME'}, {'DEPOSIT_C_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}]",0.49589159431445284,0.9039256198347108,187,"{0.0: 176, 1.0: 11}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_INCOME', 'PROFILE_REGION_LOW_CRIME', 'PROFILE_REGION_LOW_EDU'}, {'DEPOSIT_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_LONG'}]",0.49283673168317677,0.8962962962962964,113,"{1.0: 5, 0.0: 108}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'DEPOSIT_D_GAP_LONG'}, {'DEPOSIT_D_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'DEPOSIT_C_GAP_LONG'}]",0.4920757598597678,0.8870817843866171,285,"{0.0: 269, 1.0: 16}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'DEPOSIT_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}]",0.48821775025961256,0.8584401709401709,168,"{0.0: 156, 1.0: 12}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.48809733981832726,0.9083333333333333,901,"{0.0: 861, 1.0: 40}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}]",0.4792029546757064,0.8812271320011258,393,"{0.0: 374, 1.0: 19}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_INCOME', 'PROFILE_REGION_LOW_CRIME'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'DEPOSIT_B_GAP_LONG'}]",0.476325162586529,0.8272727272727272,57,"{0.0: 55, 1.0: 2}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_OLD_MALE'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_SHORT'}]",0.46844294713404167,0.9189765458422174,275,"{0.0: 268, 1.0: 7}",0.002997002997002997,0.0031883010606414863,True,0.9694829047753603
