pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'PROFILE_REGION_LOW_EDU', 'PROFILE_REGION_LOW_CRIME', 'PROFILE_REGION_LOW_INCOME'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}, {'DEPOSIT_C_GAP_SHORT'}]",1.2029506441258055,0.6981132075471699,54,"{0.0: 53, 1.0: 1}",0.000999000999000999,0.00111000111000111,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_CRIME', 'PROFILE_REGION_LOW_EDU', 'PROFILE_REGION_LOW_INCOME'}, {'DEPOSIT_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_MED'}, {'DEPOSIT_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}]",0.9479788323446353,0.7173913043478262,47,"{0.0: 46, 1.0: 1}",0.000999000999000999,0.0011352284079556806,True,0.9694829047753603
[{'TRANSFER_IN_D_GAP_MED'}],0.9377665651320152,0.8805379746835443,328,"{0.0: 316, 1.0: 12}",0.000999000999000999,0.0011616290686058128,True,0.9694829047753603
"[{'TRANSFER_IN_D_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.7913083906175695,0.829598308668076,226,"{0.0: 215, 1.0: 11}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_OLD_MALE', 'PROFILE_REGION_LOW_INCOME', 'PROFILE_REGION_LOW_CRIME', 'PROFILE_REGION_LOW_EDU'}, {'DEPOSIT_A_GAP_SHORT'}]",0.7891186747154115,0.8562091503267973,155,"{0.0: 153, 1.0: 2}",0.000999000999000999,0.0010978032956054933,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'DEPOSIT_B_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.7305025869566674,0.8071111111111111,134,"{0.0: 125, 1.0: 9}",0.000999000999000999,0.0011616290686058128,True,0.9694829047753603
"[{'PROFILE_OLD_MALE', 'PROFILE_REGION_LOW_CRIME', 'PROFILE_REGION_LOW_EDU'}, {'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_B_GAP_SHORT'}]",0.7215993936745934,0.7906976744186047,88,"{0.0: 86, 1.0: 2}",0.000999000999000999,0.0010978032956054933,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_CRIME', 'PROFILE_REGION_LOW_EDU', 'PROFILE_REGION_LOW_INCOME', 'PROFILE_OLD_MALE'}, {'CARD_WITHDRAWAL_B_GAP_MED'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}]",0.7119395710881959,0.8448275862068966,147,"{0.0: 145, 1.0: 2}",0.000999000999000999,0.0011352284079556806,True,0.9694829047753603
"[{'PROFILE_REGION_HIGH_INCOME', 'PROFILE_REGION_HIGH_CRIME'}, {'DEPOSIT_B_GAP_SHORT'}, {'CARD_WITHDRAWAL_B_GAP_MED'}, {'DEPOSIT_C_GAP_MED'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}]",0.7014778717001489,0.8053097345132744,114,"{0.0: 113, 1.0: 1}",0.000999000999000999,0.0010978032956054933,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_EDU'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'DEPOSIT_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}]",0.6876521665241948,0.8027210884353742,101,"{0.0: 98, 1.0: 3}",0.000999000999000999,0.0010978032956054933,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_CRIME', 'PROFILE_REGION_LOW_EDU'}, {'DEPOSIT_B_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.6822346923475342,0.7708333333333334,49,"{0.0: 48, 1.0: 1}",0.002997002997002997,0.0031883010606414863,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_D_GAP_MED'}, {'TRANSFER_IN_D_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.6672983080511928,0.8451352907311456,202,"{1.0: 9, 0.0: 193}",0.000999000999000999,0.00111000111000111,True,0.9694829047753603
"[{'DEPOSIT_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.6363437714919922,0.9189895470383276,713,"{0.0: 672, 1.0: 41}",0.000999000999000999,0.0010978032956054933,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_B_GAP_MED'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'DEPOSIT_B_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.6319300070618198,0.8334896810506567,177,"{0.0: 164, 1.0: 13}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_OLD_MALE', 'PROFILE_REGION_LOW_INCOME'}, {'DEPOSIT_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}]",0.6276607696661913,0.7956989247311828,65,"{0.0: 62, 1.0: 3}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'DEPOSIT_C_GAP_LONG'}, {'DEPOSIT_D_GAP_LONG'}]",0.6252293813611993,0.9193284708249497,596,"{0.0: 568, 1.0: 28}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_INCOME', 'PROFILE_REGION_LOW_CRIME', 'PROFILE_OLD_MALE'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}]",0.6107467403767406,0.9134518617913452,282,"{0.0: 271, 1.0: 11}",0.000999000999000999,0.0011616290686058128,True,0.9694829047753603
"[{'PROFILE_REGION_HIGH_INCOME', 'PROFILE_OLD_FEMALE'}, {'DEPOSIT_C_GAP_LONG'}]",0.6066683180546397,0.9139105058365758,265,"{0.0: 257, 1.0: 8}",0.000999000999000999,0.0011616290686058128,True,0.9694829047753603
"[{'TRANSFER_IN_D_GAP_LONG'}, {'TRANSFER_IN_D_GAP_MED'}, {'TRANSFER_IN_D_GAP_SHORT'}, {'TRANSFER_IN_D_GAP_MED'}]",0.602930515598551,0.8512658227848102,168,"{1.0: 10, 0.0: 158}",0.000999000999000999,0.0010978032956054933,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'DEPOSIT_C_GAP_LONG'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}]",0.597839664438037,0.8877272727272728,322,"{0.0: 300, 1.0: 22}",0.000999000999000999,0.0011616290686058128,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_D_GAP_MED'}, {'DEPOSIT_B_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.5944185640499847,0.8214285714285714,104,"{0.0: 98, 1.0: 6}",0.000999000999000999,0.0010978032956054933,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.5807046696772493,0.8857927786499216,574,"{0.0: 546, 1.0: 28}",0.000999000999000999,0.0011224730325853922,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_INCOME'}, {'DEPOSIT_D_GAP_LONG'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_SHORT'}]",0.5797415338955747,0.8520408163265306,147,"{0.0: 140, 1.0: 7}",0.000999000999000999,0.00111000111000111,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.5773253705549962,0.9066026093088857,741,"{0.0: 709, 1.0: 32}",0.000999000999000999,0.00111000111000111,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_EDU', 'PROFILE_OLD_MALE', 'PROFILE_REGION_LOW_INCOME'}, {'DEPOSIT_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_B_GAP_MED'}, {'CARD_WITHDRAWAL_B_GAP_LONG'}]",0.5688272438203037,0.8541666666666666,146,"{0.0: 144, 1.0: 2}",0.000999000999000999,0.00111000111000111,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'DEPOSIT_C_GAP_SHORT'}, {'DEPOSIT_C_GAP_MED'}]",0.558102327109034,0.8628481345244351,184,"{0.0: 173, 1.0: 11}",0.000999000999000999,0.0011352284079556806,True,0.9694829047753603
"[{'DEPOSIT_D_GAP_LONG'}, {'DEPOSIT_C_GAP_LONG'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.5576041732363449,0.904061491744164,501,"{0.0: 479, 1.0: 22}",0.000999000999000999,0.0011352284079556806,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_INCOME'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_SHORT'}, {'DEPOSIT_D_GAP_MED'}]",0.555337502713291,0.8528925619834711,126,"{0.0: 121, 1.0: 5}",0.000999000999000999,0.0010978032956054933,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_CRIME'}, {'DEPOSIT_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_SHORT'}]",0.553495221687915,0.8548752834467122,133,"{0.0: 126, 1.0: 7}",0.000999000999000999,0.00111000111000111,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'DEPOSIT_C_GAP_SHORT'}]",0.5504235278957557,0.8461538461538461,168,"{0.0: 155, 1.0: 13}",0.000999000999000999,0.0011352284079556806,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.5502485728594861,0.9149454596968408,944,"{0.0: 905, 1.0: 39}",0.000999000999000999,0.0011616290686058128,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_A_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}]",0.5487098757877631,0.8736496913580246,456,"{0.0: 432, 1.0: 24}",0.000999000999000999,0.0011616290686058128,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_C_GAP_SHORT'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.5479889996598499,0.9157594472940438,973,"{0.0: 932, 1.0: 41}",0.000999000999000999,0.0011352284079556806,True,0.9694829047753603
"[{'CARD_WITHDRAWAL_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_SHORT'}, {'DEPOSIT_C_GAP_MED'}]",0.5461423310075006,0.9028871391076114,402,"{0.0: 381, 1.0: 21}",0.000999000999000999,0.00111000111000111,True,0.9694829047753603
"[{'PROFILE_REGION_LOW_INCOME'}, {'DEPOSIT_C_GAP_MED'}, {'CARD_WITHDRAWAL_D_GAP_MED'}]",0.5461369027997587,0.8974089635854342,293,"{1.0: 21, 0.0: 272}",0.000999000999000999,0.0010978032956054933,True,0.9694829047753603
