pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'TMA_25364_low'}, {'TMA_25365_low'}, {'Exam_25368_fail'}]",1.369698382031828,0.6052631578947367,21,"{1.0: 19, 0.0: 2}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
"[{'TMA_15020_high'}, {'TMA_15021_low'}, {'TMA_15023_low'}]",1.254939162304669,0.6645833333333334,32,"{0.0: 20, 1.0: 12}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
"[{'TMA_30719_high'}, {'TMA_30721_medium'}, {'TMA_30722_high'}]",1.239664098942031,0.6274509803921569,20,"{0.0: 17, 1.0: 3}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
"[{'TMA_15022_low'}, {'TMA_15023_low'}, {'TMA_15024_low'}]",1.1811093134341235,0.6918767507002801,38,"{0.0: 21, 1.0: 17}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
[{'TMA_15024_low'}],1.1101878681498625,0.8095238095238095,79,"{0.0: 51, 1.0: 28}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
"[{'TMA_15020_high'}, {'TMA_15023_low'}, {'TMA_15024_low'}]",1.058622498573737,0.6944444444444444,28,"{0.0: 18, 1.0: 10}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
[{'TMA_15023_low'}],0.9931170806044,0.8458040512608517,100,"{0.0: 59, 1.0: 41}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
"[{'TMA_15020_fail'}, {'TMA_15024_medium'}]",0.9874238638994368,0.7348484848484849,25,"{1.0: 3, 0.0: 22}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
"[{'TMA_15020_fail'}, {'TMA_15022_medium'}]",0.9358632052139864,0.7758620689655172,40,"{0.0: 29, 1.0: 11}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
"[{'TMA_15020_fail'}, {'TMA_15024_low'}]",0.8733580419568249,0.7813765182186234,32,"{1.0: 13, 0.0: 19}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
"[{'TMA_30719_high'}, {'TMA_30720_high'}, {'TMA_30721_medium'}]",0.8724459733601717,0.7321428571428572,25,"{0.0: 21, 1.0: 4}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
[{'TMA_15021_low'}],0.8603420908020648,0.891867469879518,143,"{1.0: 83, 0.0: 60}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
[{'TMA_15024_medium'}],0.8549961628276617,0.8683712121212122,56,"{1.0: 12, 0.0: 44}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
[{'TMA_25348_fail'}],0.8333588335388323,0.8592436974789917,31,"{1.0: 17, 0.0: 14}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
"[{'TMA_15021_low'}, {'TMA_15024_low'}]",0.8295775858737056,0.8028985507246377,38,"{1.0: 15, 0.0: 23}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
[{'TMA_30709_low'}],0.8267649515544406,0.8580246913580247,27,"{1.0: 18, 0.0: 9}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
[{'TMA_15022_low'}],0.8092002036676373,0.9076357343716202,136,"{0.0: 69, 1.0: 67}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
[{'TMA_15021_fail'}],0.8078501990404858,0.8739669421487603,33,"{0.0: 11, 1.0: 22}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
[{'TMA_15020_fail'}],0.8067810666134074,0.9085286458333334,136,"{1.0: 64, 0.0: 72}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
[{'TMA_30721_medium'}],0.7917797283404492,0.90150842945874,72,"{0.0: 49, 1.0: 23}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
"[{'TMA_15022_medium'}, {'TMA_15023_medium'}]",0.7858638139738127,0.8090909090909091,32,"{1.0: 10, 0.0: 22}",0.0009990009990009,0.0014856937933861,True,0.9885594618055557
