pattern,quality,support,pattern_auc,global_auc,dataset_size
"[{'TMA_15020_high'}, {'TMA_15021_low'}, {'TMA_15023_low'}]",1.254939162304669,32,0.6645833333333334,0.9885594618055555,4800
"[{'TMA_15022_low'}, {'TMA_15023_low'}, {'TMA_15024_low'}]",1.1811093134341237,38,0.6918767507002801,0.9885594618055555,4800
"[{'TMA_15023_low'}, {'TMA_15024_low'}]",1.1416582206765726,51,0.7435483870967742,0.9885594618055555,4800
[{'TMA_15024_low'}],1.1101878681498625,79,0.8095238095238095,0.9885594618055555,4800
"[{'TMA_15020_high'}, {'TMA_15023_low'}, {'TMA_15024_low'}]",1.058622498573737,28,0.6944444444444444,0.9885594618055555,4800
"[{'TMA_15021_low'}, {'TMA_15023_low'}]",1.028375133600124,50,0.7660098522167487,0.9885594618055555,4800
"[{'TMA_15021_low'}, {'TMA_15022_low'}, {'TMA_15023_low'}]",1.0060091657423962,41,0.7320574162679426,0.9885594618055555,4800
[{'TMA_15023_low'}],0.9931170806044001,100,0.8458040512608517,0.9885594618055555,4800
"[{'TMA_15022_low'}, {'TMA_15023_low'}]",0.9642649878009224,69,0.7966893039049235,0.9885594618055555,4800
"[{'TMA_15022_low'}, {'TMA_15024_low'}]",0.9491645598267658,49,0.7831541218637993,0.9885594618055555,4800
"[{'TMA_15020_high'}, {'TMA_15022_low'}, {'TMA_15023_low'}]",0.9477090219024398,44,0.7489316239316239,0.9885594618055555,4800
"[{'TMA_15021_medium'}, {'TMA_15024_low'}]",0.9380185001099713,27,0.7532894736842105,0.9885594618055555,4800
"[{'TMA_15020_fail'}, {'TMA_15022_medium'}]",0.9358632052139864,40,0.7758620689655172,0.9885594618055555,4800
"[{'TMA_15020_high'}, {'TMA_15024_low'}]",0.9012977636032363,45,0.7908653846153847,0.9885594618055555,4800
"[{'TMA_15020_high'}, {'TMA_15023_low'}]",0.8796229299931766,59,0.8091787439613526,0.9885594618055555,4800
"[{'TMA_15021_low'}, {'TMA_15023_low'}, {'TMA_15024_low'}]",0.8766736023534727,29,0.7403846153846154,0.9885594618055555,4800
"[{'TMA_15020_fail'}, {'TMA_15024_low'}]",0.8733580419568249,32,0.7813765182186234,0.9885594618055555,4800
"[{'TMA_30719_high'}, {'TMA_30720_high'}, {'TMA_30721_medium'}]",0.8724459733601717,25,0.7321428571428572,0.9885594618055555,4800
"[{'TMA_15020_fail'}, {'TMA_15023_low'}, {'TMA_15024_low'}]",0.8709061760525634,21,0.7211538461538461,0.9885594618055555,4800
[{'TMA_15022_medium'}],0.8628276092256546,79,0.875544267053701,0.9885594618055555,4800
[{'TMA_15021_low'}],0.8603420908020648,143,0.891867469879518,0.9885594618055555,4800
[{'TMA_25348_fail'}],0.8333588335388323,31,0.8592436974789917,0.9885594618055555,4800
"[{'TMA_15021_low'}, {'TMA_15024_low'}]",0.8295775858737056,38,0.8028985507246377,0.9885594618055555,4800
[{'TMA_30709_low'}],0.8267649515544406,27,0.8580246913580247,0.9885594618055555,4800
"[{'TMA_15020_high'}, {'TMA_15022_low'}, {'TMA_15024_low'}]",0.8199325589221592,29,0.7555555555555555,0.9885594618055555,4800
[{'TMA_15022_low'}],0.8092002036676373,136,0.9076357343716202,0.9885594618055555,4800
[{'TMA_15021_fail'}],0.8078501990404858,33,0.8739669421487603,0.9885594618055555,4800
[{'TMA_15020_fail'}],0.8067810666134074,136,0.9085286458333334,0.9885594618055555,4800
[{'TMA_30721_medium'}],0.7917797283404492,72,0.90150842945874,0.9885594618055555,4800
[{'TMA_15021_medium'}],0.7838279959118475,97,0.911297852474323,0.9885594618055555,4800
[{'TMA_15024_fail'}],0.7837551124286877,30,0.885,0.9885594618055555,4800
[{'TMA_15020_high'}],0.7795215306336759,169,0.9230392156862746,0.9885594618055555,4800
[{'TMA_15023_medium'}],0.77213270264572,58,0.9069767441860465,0.9885594618055555,4800
"[{'TMA_15021_low'}, {'TMA_15022_low'}, {'TMA_15024_low'}]",0.7627140726566639,30,0.7737556561085973,0.9885594618055555,4800
[{'TMA_25362_fail'}],0.7616163772290024,32,0.9009661835748792,0.9885594618055555,4800
"[{'TMA_25352_low'}, {'Exam_25354_fail'}]",0.757193631459726,29,0.814935064935065,0.9885594618055555,4800
"[{'TMA_15022_medium'}, {'TMA_15024_medium'}]",0.7512920989214688,28,0.8156249999999999,0.9885594618055555,4800
[{'TMA_25349_fail'}],0.7491495858618484,38,0.9134615384615384,0.9885594618055555,4800
[{'TMA_30710_medium'}],0.743496084438031,75,0.9288762446657183,0.9885594618055555,4800
[{'TMA_30715_low'}],0.7389261933208892,36,0.9206349206349206,0.9885594618055555,4800
[{'TMA_25350_fail'}],0.7360068192594711,34,0.9222222222222223,0.9885594618055555,4800
"[{'TMA_15020_fail'}, {'TMA_15021_medium'}]",0.7252186409938202,46,0.8447916666666666,0.9885594618055555,4800
[{'TMA_30721_fail'}],0.7233653737069847,20,0.9270833333333334,0.9885594618055555,4800
"[{'TMA_15021_low'}, {'TMA_15022_medium'}]",0.7190888702112823,21,0.8163265306122449,0.9885594618055555,4800
[{'TMA_1754_low'}],0.7177217129260366,24,0.9370629370629371,0.9885594618055555,4800
"[{'TMA_30719_high'}, {'TMA_30721_medium'}]",0.7114043795701168,49,0.8519607843137256,0.9885594618055555,4800
