pattern,quality,support,pattern_auc,global_auc,theta
"[{'miss'}, {'my'}]",0.8860648581119355,73,0.7029411764705882,0.9348215,0.5
"[{'call'}, {'me'}]",0.865549982547251,21,0.6272727272727272,0.9348215,0.5
[{'sorry'}],0.8450593920486358,251,0.8268222101645868,0.9348215,0.5
[{'days'}],0.8122435741095263,151,0.8268398268398268,0.9348215,0.5
[{'only'}],0.801638481104621,252,0.8443736141906873,0.9348215,0.5
[{'miss'}],0.8012350398577263,356,0.8520213577421816,0.9348215,0.5
[{'not'}],0.7836875678344695,1067,0.8775451124191836,0.9348215,0.5
[{'goin'}],0.7823437895955675,42,0.8072562358276644,0.9348215,0.5
[{'french'}],0.7749612179496665,22,0.7916666666666666,0.9348215,0.5
[{'yeah'}],0.7619863390324488,218,0.8613460183227625,0.9348215,0.5
[{'though'}],0.7560680543203423,173,0.8607196401799101,0.9348215,0.5
[{'been'}],0.741829177933264,329,0.8801510161458751,0.9348215,0.5
[{'even'}],0.7355734092796009,206,0.8780246913580246,0.9348215,0.5
[{'late'}],0.7327819294578157,77,0.8650075414781297,0.9348215,0.5
[{'job'}],0.7220342107342252,75,0.8767806267806267,0.9348215,0.5
[{'text'}],0.7216073304416524,38,0.8666666666666667,0.9348215,0.5
"[{'...'}, {'well'}]",0.7039824034592335,29,0.7285714285714285,0.9348215,0.5
"[{'not'}, {'as'}]",0.6530774429425865,25,0.7533333333333334,0.9348215,0.5
"[{'USER'}, {'then'}]",0.6362050988195175,152,0.8269927536231885,0.9348215,0.5
"[{'USER'}, {'been'}]",0.6318296174792,159,0.8302782324058919,0.9348215,0.5
"[{'is'}, {'not'}]",0.6254602720288908,161,0.833696599825632,0.9348215,0.5
"[{'USER'}, {'will'}]",0.6237759705249007,262,0.8460253197095302,0.9348215,0.5
"[{'USER'}, {'not'}]",0.6146690577873288,491,0.8624349219062875,0.9348215,0.5
"[{','}, {'will'}]",0.6114744876245959,110,0.8314529914529915,0.9348215,0.5
"[{'USER'}, {'aww'}]",0.6111899156640325,66,0.8175609756097562,0.9348215,0.5
"[{'not'}, {'or'}]",0.6107622415340398,25,0.7857142857142857,0.9348215,0.5
"[{'USER'}, {'years'}]",0.6084206971929544,23,0.7846153846153846,0.9348215,0.5
"[{'USER'}, {'i'}, {'wish'}, {'to'}]",0.6070360435306617,20,0.640625,0.9348215,0.5
"[{'...'}, {'we'}]",0.6052076767756421,44,0.8095238095238095,0.9348215,0.5
"[{'USER'}, {'did'}]",0.6051747660958732,313,0.8581147946561108,0.9348215,0.5
"[{'lol'}, {'...'}]",0.6041680309601675,32,0.8,0.9348215,0.5
"[{""n't""}, {'was'}]",0.5955333643127327,35,0.8101851851851852,0.9348215,0.5
"[{'yeah'}, {'i'}]",0.5953386651281481,108,0.8409090909090909,0.9348215,0.5
"[{'USER'}, {'but'}]",0.5934799767595923,670,0.8760837328626924,0.9348215,0.5
"[{'last'}, {'day'}]",0.5874018356457055,45,0.8245192307692308,0.9348215,0.5
"[{'USER'}, {'well'}]",0.5872475309341486,253,0.863275143303804,0.9348215,0.5
"[{'i'}, {'missed'}]",0.5850528068810121,82,0.8416289592760181,0.9348215,0.5
"[{'i'}, {'but'}]",0.58102161945503,591,0.8798191337458353,0.9348215,0.5
"[{'but'}, {""'m""}]",0.579642596634936,86,0.8468298807281858,0.9348215,0.5
"[{'!'}, {'how'}, {'?'}]",0.5783012405182031,33,0.7355371900826446,0.9348215,0.5
"[{'i'}, {'did'}]",0.5777378384122887,236,0.8676126743529792,0.9348215,0.5
"[{'but'}, {'it'}]",0.5767995859295489,256,0.86953125,0.9348215,0.5
"[{'but'}, {'i'}]",0.5746594484578202,562,0.8822585309427414,0.9348215,0.5
"[{'not'}, {'a'}]",0.5713445812284565,170,0.8662512679321838,0.9348215,0.5
"[{'USER'}, {'all'}]",0.5685712397396558,341,0.8788761706555672,0.9348215,0.5
"[{'that'}, {','}]",0.5654211173912025,231,0.8753186384765331,0.9348215,0.5
"[{'USER'}, {'few'}]",0.5651228801280694,52,0.8487394957983193,0.9348215,0.5
"[{'did'}, {""n't""}]",0.5648054202201525,187,0.8725463467829879,0.9348215,0.5
"[{'USER'}, {'u'}]",0.563456384551192,352,0.8825171609682398,0.9348215,0.5
"[{""n't""}, {'.'}]",0.5625401942646283,326,0.8821094527363184,0.9348215,0.5
"[{'i'}, {'know'}]",0.5624586164619598,323,0.8820418442464162,0.9348215,0.5
"[{'!'}, {'that'}]",0.5621723044607905,227,0.8773854961832062,0.9348215,0.5
"[{'but'}, {'a'}]",0.56210614267452,168,0.8729490344126616,0.9348215,0.5
"[{'?'}, {'the'}]",0.5616674537884655,137,0.8700770547945205,0.9348215,0.5
"[{'USER'}, {'no'}]",0.5610571334275836,365,0.884544937788164,0.9348215,0.5
"[{'i'}, {'more'}]",0.5607976250017089,124,0.8691915122213268,0.9348215,0.5
"[{'i'}, {'see'}]",0.560624667036943,216,0.877824555374173,0.9348215,0.5
"[{'that'}, {'to'}]",0.5601934211920734,315,0.883252086259605,0.9348215,0.5
"[{'USER'}, {'pics'}]",0.5599114420758907,24,0.837037037037037,0.9348215,0.5
"[{'oh'}, {'i'}]",0.5582343619598069,181,0.8771661569826709,0.9348215,0.5
"[{'USER'}, {'really'}]",0.556736230836056,194,0.8793708151769584,0.9348215,0.5
"[{'if'}, {""n't""}]",0.5566994768008973,55,0.8588709677419355,0.9348215,0.5
"[{'USER'}, {'ill'}]",0.5563591016574227,30,0.84688995215311,0.9348215,0.5
"[{'how'}, {'to'}]",0.5562636885321884,99,0.8696741854636592,0.9348215,0.5
"[{'USER'}, {'nt'}]",0.5555236746040948,255,0.8839701113774143,0.9348215,0.5
"[{'i'}, {'again'}]",0.5536869496630787,100,0.8723958333333334,0.9348215,0.5
"[{'USER'}, {'busy'}]",0.5522025275326177,20,0.8437500000000001,0.9348215,0.5
"[{'guess'}, {'i'}]",0.5513106897023194,56,0.8654970760233918,0.9348215,0.5
"[{'know'}, {'in'}]",0.551246345753999,42,0.8604118993135011,0.9348215,0.5
"[{'!'}, {'on'}]",0.5492055161286864,163,0.8837496145544249,0.9348215,0.5
"[{'USER'}, {'him'}]",0.5481771363151751,87,0.8762486126526082,0.9348215,0.5
"[{'how'}, {','}]",0.5481397514646396,53,0.8685714285714285,0.9348215,0.5
"[{'USER'}, {'please'}]",0.5475978709735339,87,0.8769230769230769,0.9348215,0.5
"[{'USER'}, {'r'}]",0.5463310843182142,51,0.8703703703703703,0.9348215,0.5
"[{'only'}, {'!'}]",0.5456075412099167,28,0.8611111111111112,0.9348215,0.5
"[{'USER'}, {'more'}]",0.5454497700407952,125,0.8842881452070334,0.9348215,0.5
"[{'yeah'}, {'and'}]",0.5450228080723432,35,0.8660130718954249,0.9348215,0.5
"[{'me'}, {'back'}]",0.5421052566195927,25,0.865079365079365,0.9348215,0.5
"[{'USER'}, {','}, {'u'}]",0.5192554532057763,59,0.7934782608695652,0.9348215,0.5
"[{','}, {'i'}, {""'s""}]",0.49127023048057694,76,0.8184523809523809,0.9348215,0.5
"[{'i'}, {""'m""}, {'not'}]",0.4883265364067484,147,0.8377140581441656,0.9348215,0.5
"[{'USER'}, {'!'}, {'is'}]",0.48409138859234435,149,0.8403361344537816,0.9348215,0.5
"[{'USER'}, {','}, {'then'}]",0.47816774170906684,46,0.8125,0.9348215,0.5
"[{'it'}, {""n't""}, {'it'}]",0.4779846530983419,35,0.804,0.9348215,0.5
"[{'USER'}, {'i'}, {','}]",0.47753890454754333,596,0.8706012558160546,0.9348215,0.5
"[{'USER'}, {'now'}, {'that'}]",0.466913418869506,30,0.8086124401913876,0.9348215,0.5
"[{'USER'}, {'know'}, {'...'}]",0.4637931856294024,23,0.803030303030303,0.9348215,0.5
"[{'i'}, {""'s""}, {','}]",0.46050676858391126,54,0.8310439560439561,0.9348215,0.5
"[{'USER'}, {'i'}, {'you'}]",0.4600102140966785,689,0.8801303844940591,0.9348215,0.5
"[{'i'}, {'it'}, {'me'}]",0.459043124332953,71,0.839047619047619,0.9348215,0.5
"[{'USER'}, {'you'}, {'for'}]",0.45670229327036427,158,0.8579234972677596,0.9348215,0.5
"[{'USER'}, {'i'}, {'!'}]",0.4554874192705639,596,0.8802166367038657,0.9348215,0.5
"[{'USER'}, {','}, {'could'}]",0.4543501375455872,32,0.8225108225108225,0.9348215,0.5
"[{'USER'}, {'i'}, {""'m""}, {'not'}]",0.45403981659492043,73,0.7843137254901961,0.9348215,0.5
"[{'USER'}, {'i'}, {'me'}]",0.45372388905436556,220,0.8658485683279071,0.9348215,0.5
"[{'USER'}, {'the'}, {'same'}]",0.45176718958274265,47,0.8351648351648351,0.9348215,0.5
"[{'do'}, {""n't""}, {'i'}]",0.44875308244774925,141,0.8612494341330919,0.9348215,0.5
"[{'USER'}, {'i'}, {'be'}]",0.4471146150849038,225,0.8704261048629812,0.9348215,0.5
"[{'USER'}, {'me'}, {'about'}]",0.4455632960638517,28,0.828125,0.9348215,0.5
"[{'USER'}, {'you'}, {'i'}]",0.44439712661894026,424,0.8814001740178034,0.9348215,0.5
"[{'USER'}, {','}, {'!'}]",0.4439323901411857,267,0.8751529987760098,0.9348215,0.5
"[{'i'}, {'it'}, {','}]",0.4437083756411151,138,0.8646205591759512,0.9348215,0.5
"[{'USER'}, {'i'}, {""n't""}]",0.4426602283082284,437,0.8828025477707006,0.9348215,0.5
"[{'USER'}, {'i'}, {'have'}]",0.44174468931463506,454,0.8838266531673713,0.9348215,0.5
"[{'USER'}, {'you'}, {'you'}]",0.44050274336727513,402,0.883002593466795,0.9348215,0.5
"[{'USER'}, {'love'}, {'you'}]",0.4403152752396867,78,0.8569169960474308,0.9348215,0.5
"[{'i'}, {'i'}, {'good'}]",0.44028388501077986,43,0.8444444444444444,0.9348215,0.5
"[{'USER'}, {'i'}, {'was'}]",0.44013850034782465,280,0.8783422459893049,0.9348215,0.5
"[{'is'}, {'to'}, {','}]",0.43876973389974294,50,0.8493589743589743,0.9348215,0.5
"[{'USER'}, {'i'}, {'at'}]",0.4381011531504606,150,0.8704178885630499,0.9348215,0.5
"[{'USER'}, {'!'}, {'to'}]",0.437356321371828,337,0.8827067669172932,0.9348215,0.5
"[{'i'}, {'m'}, {'the'}]",0.4364287850438523,74,0.8595918367346939,0.9348215,0.5
"[{'USER'}, {','}, {""n't""}]",0.4353279995262376,176,0.8751155115511552,0.9348215,0.5
"[{'USER'}, {'you'}, {'know'}]",0.43381489588134503,105,0.8682745825602969,0.9348215,0.5
"[{'USER'}, {'now'}, {'i'}]",0.4337189438036675,105,0.8683636363636364,0.9348215,0.5
"[{'i'}, {'so'}, {'a'}]",0.4320065744821173,51,0.8571428571428571,0.9348215,0.5
"[{'USER'}, {'i'}, {'it'}, {'but'}]",0.4304215866140306,50,0.7826825127334464,0.9348215,0.5
"[{'USER'}, {'i'}, {'get'}]",0.429189896271037,215,0.882900313248572,0.9348215,0.5
"[{'back'}, {'to'}, {'work'}]",0.42899726775671976,35,0.8533333333333333,0.9348215,0.5
"[{'i'}, {'in'}, {'my'}, {'i'}]",0.4285759085000258,26,0.7569444444444444,0.9348215,0.5
"[{'!'}, {'!'}, {'was'}]",0.4278943454972448,48,0.8608695652173913,0.9348215,0.5
"[{'!'}, {'get'}, {'the'}]",0.42784809155843684,28,0.8502673796791445,0.9348215,0.5
"[{'USER'}, {'that'}, {'in'}]",0.42735365220161214,95,0.8730378578024006,0.9348215,0.5
"[{'USER'}, {'have'}, {'it'}]",0.4272191436721857,90,0.8723404255319148,0.9348215,0.5
"[{'!'}, {'i'}, {'it'}]",0.42527075150363736,155,0.8821260898725689,0.9348215,0.5
"[{'USER'}, {'it'}, {'not'}]",0.42294761461133645,70,0.8733333333333333,0.9348215,0.5
"[{'i'}, {'have'}, {'for'}]",0.42267104959151647,85,0.8765714285714286,0.9348215,0.5
"[{'i'}, {'got'}, {'a'}]",0.4208026335812576,53,0.8717948717948718,0.9348215,0.5
"[{'USER'}, {'!'}, {'get'}]",0.42058817003879656,79,0.8780487804878049,0.9348215,0.5
"[{'USER'}, {'you'}, {'not'}]",0.4201182820097694,62,0.8751322751322752,0.9348215,0.5
"[{'me'}, {'?'}, {'i'}]",0.419356846078487,22,0.8588235294117647,0.9348215,0.5
"[{'USER'}, {'i'}, {'from'}]",0.41911966303616965,91,0.8818272095332671,0.9348215,0.5
"[{'USER'}, {'but'}, {','}]",0.41665232253434326,89,0.884732052578362,0.9348215,0.5
"[{'USER'}, {','}, {'!'}, {'you'}]",0.4139708248586761,45,0.788888888888889,0.9348215,0.5
