pattern,quality,support,pattern_auc,global_auc,dataset_size
[{'only'}],0.7735656245187797,252,0.8991823725055432,0.9762792031249999,16000
[{'fuck'}],0.7624320985861481,39,0.8629032258064516,0.9762792031249999,16000
[{'sorry'}],0.7427398074819885,251,0.917164044130946,0.9762792031249999,16000
[{'days'}],0.7349705225674239,151,0.9154040404040404,0.9762792031249999,16000
[{'studying'}],0.7253870576103768,31,0.8988095238095238,0.9762792031249999,16000
[{'sore'}],0.7142198753596751,40,0.9210526315789473,0.9762792031249999,16000
[{'years'}],0.714141357981495,47,0.9233716475095786,0.9762792031249999,16000
"[{'wish'}, {'was'}]",0.5979876037239156,55,0.863095238095238,0.9762792031249999,16000
"[{'USER'}, {'sorry'}]",0.5800754564972322,201,0.9048433048433049,0.9762792031249999,16000
"[{'USER'}, {'never'}]",0.5663635034796004,107,0.9033582089552239,0.9762792031249999,16000
"[{'miss'}, {'my'}]",0.5652699029372179,73,0.8970588235294118,0.9762792031249999,16000
"[{'i'}, {'wish'}]",0.5584152903102986,160,0.9166666666666667,0.9762792031249999,16000
"[{'USER'}, {'even'}]",0.556339966509448,95,0.9103815439219166,0.9762792031249999,16000
"[{'of'}, {'still'}]",0.554722225279332,27,0.888235294117647,0.9762792031249999,16000
"[{'USER'}, {'wish'}]",0.5538138850424374,126,0.9172368849788205,0.9762792031249999,16000
"[{'USER'}, {'miss'}]",0.5532792833741509,140,0.9192708333333334,0.9762792031249999,16000
"[{'but'}, {'you'}]",0.5500290466369739,119,0.9201704545454545,0.9762792031249999,16000
"[{'kind'}, {'of'}]",0.5497956259502992,38,0.9019607843137254,0.9762792031249999,16000
"[{'i'}, {'little'}]",0.5455257751163853,45,0.9109311740890688,0.9762792031249999,16000
"[{'more'}, {'!'}]",0.5449722951884892,50,0.9134125636672326,0.9762792031249999,16000
"[{'!'}, {'miss'}]",0.5434163884577485,60,0.9183673469387755,0.9762792031249999,16000
"[{'USER'}, {'aww'}]",0.5425222365300721,66,0.9209756097560976,0.9762792031249999,16000
"[{'last'}, {'day'}]",0.5422348890270512,45,0.9158653846153847,0.9762792031249999,16000
"[{'oh'}, {'no'}]",0.5400127548824005,53,0.9217171717171717,0.9762792031249999,16000
"[{'love'}, {'much'}]",0.5398055160043658,27,0.9120879120879121,0.9762792031249999,16000
"[{'USER'}, {'rain'}]",0.5390276291930107,27,0.9135802469135803,0.9762792031249999,16000
"[{'lol'}, {'...'}]",0.5379735732158024,32,0.9181818181818182,0.9762792031249999,16000
"[{'where'}, {'is'}]",0.5369914422058761,34,0.9209486166007905,0.9762792031249999,16000
"[{'USER'}, {'lmao'}]",0.5369379681633513,23,0.9153846153846154,0.9762792031249999,16000
"[{'i'}, {'the'}, {'same'}]",0.5218012307063498,37,0.8157894736842106,0.9762792031249999,16000
"[{'but'}, {'i'}, {'it'}]",0.46333942219135904,92,0.8834103749357987,0.9762792031249999,16000
"[{'wish'}, {'i'}, {'was'}]",0.45650179813821423,40,0.8680555555555556,0.9762792031249999,16000
"[{'USER'}, {'how'}, {'did'}]",0.44390813849782906,21,0.8636363636363636,0.9762792031249999,16000
"[{'i'}, {'miss'}, {'my'}]",0.4437729662047102,66,0.8918032786885246,0.9762792031249999,16000
"[{'USER'}, {'wish'}, {'i'}]",0.4382479355099602,85,0.9019138755980861,0.9762792031249999,16000
"[{'USER'}, {'good'}, {'luck'}]",0.4375314067768057,43,0.8888888888888888,0.9762792031249999,16000
"[{'i'}, {'wish'}, {'to'}]",0.43459195835564834,35,0.8877551020408163,0.9762792031249999,16000
"[{'do'}, {'.'}, {'it'}]",0.434168088056633,32,0.8862745098039215,0.9762792031249999,16000
"[{'i'}, {""'m""}, {'sorry'}]",0.43226213193524576,59,0.9010989010989011,0.9762792031249999,16000
"[{'i'}, {'i'}, {""'ll""}]",0.4319037192089813,94,0.9097127222982215,0.9762792031249999,16000
"[{'oh'}, {'i'}, {'to'}]",0.43013959879557406,49,0.9,0.9762792031249999,16000
"[{'but'}, {'i'}, {'not'}]",0.4276636020236897,36,0.897119341563786,0.9762792031249999,16000
"[{'USER'}, {'...'}, {'i'}]",0.4274153263713866,185,0.9239232209737828,0.9762792031249999,16000
"[{'USER'}, {'that'}, {'one'}]",0.4269630166625835,30,0.8944099378881988,0.9762792031249999,16000
"[{'USER'}, {'but'}, {'it'}]",0.4235124002387123,151,0.9249728162377673,0.9762792031249999,16000
"[{'USER'}, {'do'}, {'you'}]",0.42266338200720066,136,0.9244947812569397,0.9762792031249999,16000
"[{'i'}, {'i'}, {'just'}]",0.42245754628713705,113,0.922266139657444,0.9762792031249999,16000
"[{'i'}, {'you'}, {'!'}]",0.42132558923250063,133,0.9256336681013869,0.9762792031249999,16000
"[{'USER'}, {'tell'}, {'me'}]",0.42098642751536164,37,0.9070512820512819,0.9762792031249999,16000
"[{'USER'}, {'oh'}, {'no'}]",0.42093321374065407,30,0.9034090909090909,0.9762792031249999,16000
"[{'i'}, {'it'}, {'...'}]",0.4193358420711272,58,0.9166666666666666,0.9762792031249999,16000
"[{'it'}, {""'s""}, {'raining'}]",0.4190195885417032,21,0.9,0.9762792031249999,16000
"[{'USER'}, {'have'}, {'fun'}]",0.41722756012618967,44,0.9156327543424319,0.9762792031249999,16000
"[{'i'}, {'is'}, {'that'}]",0.4168207514633906,34,0.912280701754386,0.9762792031249999,16000
"[{'USER'}, {'your'}, {'me'}]",0.4147446055028098,32,0.9149797570850202,0.9762792031249999,16000
"[{'and'}, {'i'}, {','}]",0.41384105491347023,48,0.9223985890652557,0.9762792031249999,16000
"[{'.'}, {'the'}, {""n't""}]",0.41306132383971594,26,0.9150326797385621,0.9762792031249999,16000
"[{'USER'}, {""'s""}, {'your'}]",0.41245093978069436,33,0.9197530864197532,0.9762792031249999,16000
"[{'USER'}, {'night'}, {'!'}]",0.4110305024531231,30,0.9212962962962963,0.9762792031249999,16000
"[{'will'}, {'be'}, {'it'}]",0.4101682168891416,21,0.9181818181818182,0.9762792031249999,16000
"[{'USER'}, {'.'}, {'she'}]",0.41005819638054186,31,0.9238095238095239,0.9762792031249999,16000
"[{'to'}, {'that'}, {'me'}]",0.4082065636646691,23,0.9242424242424243,0.9762792031249999,16000
