pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'i'}, {'wish'}, {'the'}]",0.7749663374218397,0.6704545454545454,26,"{1.0: 22, 0.0: 4}",0.0009990009990009,0.0034448310310379,True,0.976279203125
[{'only'}],0.7735656245187797,0.8991823725055432,252,"{1.0: 164, 0.0: 88}",0.0009990009990009,0.0034448310310379,True,0.976279203125
[{'fuck'}],0.7624320985861481,0.8629032258064516,39,"{1.0: 31, 0.0: 8}",0.0039960039960039,0.0083250083250083,True,0.976279203125
[{'aw'}],0.7436869495625149,0.884453781512605,45,"{1.0: 28, 0.0: 17}",0.0019980019980019,0.0048731756048829,True,0.976279203125
[{'days'}],0.7349705225674239,0.9154040404040404,151,"{0.0: 63, 1.0: 88}",0.0009990009990009,0.0034448310310379,True,0.976279203125
[{'sore'}],0.7142198753596751,0.9210526315789472,40,"{1.0: 38, 0.0: 2}",0.0899100899100899,0.0899100899100899,False,0.976279203125
"[{'days'}, {'of'}]",0.6179172543469671,0.8241758241758242,27,"{0.0: 13, 1.0: 14}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{'wish'}, {'was'}]",0.5979876037239156,0.863095238095238,55,"{0.0: 7, 1.0: 48}",0.0029970029970029,0.0063766021212829,True,0.976279203125
"[{'USER'}, {'thought'}]",0.5824655518374272,0.88203125,72,"{0.0: 40, 1.0: 32}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{'USER'}, {'sorry'}]",0.5800754564972322,0.9048433048433048,201,"{0.0: 45, 1.0: 156}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{""n't""}, {'last'}]",0.5684325212624843,0.8666666666666667,23,"{1.0: 18, 0.0: 5}",0.0259740259740259,0.0316756414317389,True,0.976279203125
"[{'miss'}, {'my'}]",0.5652699029372179,0.8970588235294118,73,"{1.0: 68, 0.0: 5}",0.0309690309690309,0.0364341540812129,True,0.976279203125
"[{""n't""}, {'even'}]",0.5642143671304485,0.893421052631579,58,"{1.0: 38, 0.0: 20}",0.0019980019980019,0.0048731756048829,True,0.976279203125
"[{'oh'}, {'not'}]",0.5634341164268015,0.8739495798319328,24,"{0.0: 7, 1.0: 17}",0.0189810189810189,0.0260013958644095,True,0.976279203125
"[{'this'}, {'me'}]",0.5623089395301812,0.9006410256410257,76,"{1.0: 52, 0.0: 24}",0.0019980019980019,0.0048731756048829,True,0.976279203125
"[{'USER'}, {'guess'}]",0.5612426009833331,0.8995670995670997,68,"{0.0: 35, 1.0: 33}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{""'s""}, {'raining'}]",0.56091448793148,0.875,22,"{1.0: 16, 0.0: 6}",0.0209790209790209,0.0272454817909363,True,0.976279203125
"[{'i'}, {'wanna'}]",0.559551158778363,0.9078260869565216,98,"{1.0: 75, 0.0: 23}",0.0029970029970029,0.0063766021212829,True,0.976279203125
"[{'i'}, {'wish'}]",0.5584152903102986,0.9166666666666669,160,"{1.0: 132, 0.0: 28}",0.0019980019980019,0.0048731756048829,True,0.976279203125
"[{'USER'}, {'only'}]",0.5580214020255106,0.9117552334943638,114,"{1.0: 69, 0.0: 45}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{'be'}, {'at'}]",0.557914828775747,0.904503105590062,74,"{0.0: 28, 1.0: 46}",0.0019980019980019,0.0048731756048829,True,0.976279203125
"[{'i'}, {'only'}]",0.5577024036939702,0.9099099099099098,100,"{0.0: 37, 1.0: 63}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{'USER'}, {'even'}]",0.556339966509448,0.9103815439219166,95,"{1.0: 46, 0.0: 49}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{'me'}, {'when'}]",0.5547080074621826,0.8925619834710743,33,"{0.0: 22, 1.0: 11}",0.0059940059940059,0.0107035821321535,True,0.976279203125
"[{'i'}, {'i'}, {'watch'}]",0.5517886820008183,0.7676767676767677,20,"{0.0: 9, 1.0: 11}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{'hard'}, {'.'}]",0.5488116584135152,0.8968253968253969,27,"{0.0: 6, 1.0: 21}",0.0339660339660339,0.0385977658704931,True,0.976279203125
"[{'i'}, {'well'}]",0.5446414013074365,0.9251633986928104,111,"{1.0: 60, 0.0: 51}",0.0029970029970029,0.0063766021212829,True,0.976279203125
