pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'my'}, {'only'}]",0.8683908593299068,0.688888888888889,28,"{1.0: 18, 0.0: 10}",0.0009990009990009,0.0032225838677451,True,0.976279203125
[{'somewhere'}],0.8088344487210706,0.8,20,"{1.0: 10, 0.0: 10}",0.0009990009990009,0.0038423115346192,True,0.976279203125
[{'raining'}],0.8024068242906264,0.8333333333333333,41,"{0.0: 9, 1.0: 32}",0.0009990009990009,0.0032225838677451,True,0.976279203125
"[{'i'}, {'wish'}, {'the'}]",0.7749663374218397,0.6704545454545454,26,"{1.0: 22, 0.0: 4}",0.0009990009990009,0.0034448310310379,True,0.976279203125
[{'only'}],0.7735656245187797,0.8991823725055432,252,"{1.0: 164, 0.0: 88}",0.0009990009990009,0.0047571476142904,True,0.976279203125
[{'rainy'}],0.7677084918228847,0.8541666666666666,34,"{1.0: 24, 0.0: 10}",0.0039960039960039,0.0105157999894842,True,0.976279203125
[{'hurt'}],0.7656419022319776,0.8635235732009926,44,"{1.0: 31, 0.0: 13}",0.0009990009990009,0.0032225838677451,True,0.976279203125
[{'fuck'}],0.7624320985861481,0.8629032258064516,39,"{1.0: 31, 0.0: 8}",0.0039960039960039,0.0088800088800088,True,0.976279203125
[{'thinks'}],0.7529076208614264,0.8606060606060606,26,"{1.0: 15, 0.0: 11}",0.0019980019980019,0.0071357214214357,True,0.976279203125
[{'ugh'}],0.752711696823811,0.8909090909090909,87,"{1.0: 77, 0.0: 10}",0.0029970029970029,0.0069697744116348,True,0.976279203125
[{'exams'}],0.7527083293307406,0.8698412698412699,36,"{0.0: 15, 1.0: 21}",0.0019980019980019,0.0048731756048829,True,0.976279203125
[{'aw'}],0.7436869495625149,0.884453781512605,45,"{1.0: 28, 0.0: 17}",0.0019980019980019,0.0048731756048829,True,0.976279203125
[{'care'}],0.7428774491794377,0.8872053872053871,49,"{0.0: 22, 1.0: 27}",0.0019980019980019,0.0058764764647117,True,0.976279203125
[{'sorry'}],0.7427398074819885,0.917164044130946,251,"{0.0: 57, 1.0: 194}",0.0009990009990009,0.0038423115346192,True,0.976279203125
[{'rain'}],0.7390213964027394,0.9025806451612904,87,"{1.0: 62, 0.0: 25}",0.0019980019980019,0.0058764764647117,True,0.976279203125
[{'days'}],0.7349705225674239,0.9154040404040404,151,"{0.0: 63, 1.0: 88}",0.0009990009990009,0.0032225838677451,True,0.976279203125
[{'mean'}],0.7302598418758193,0.9075,70,"{1.0: 30, 0.0: 40}",0.0009990009990009,0.0032225838677451,True,0.976279203125
[{'text'}],0.7294287670221902,0.8972222222222223,38,"{0.0: 18, 1.0: 20}",0.0029970029970029,0.0078868499921131,True,0.976279203125
[{'thought'}],0.721889651445692,0.9232142857142858,106,"{0.0: 50, 1.0: 56}",0.0029970029970029,0.0063766021212829,True,0.976279203125
[{'person'}],0.7200464908327411,0.913919413919414,47,"{1.0: 26, 0.0: 21}",0.0049950049950049,0.009605778836548,True,0.976279203125
[{'sore'}],0.7142198753596751,0.9210526315789472,40,"{1.0: 38, 0.0: 2}",0.1008991008991009,0.1008991008991009,False,0.976279203125
[{'years'}],0.714141357981495,0.9233716475095786,47,"{1.0: 29, 0.0: 18}",0.0139860139860139,0.0229278917803507,True,0.976279203125
"[{'at'}, {'last'}]",0.6596624390702891,0.7954545454545454,28,"{0.0: 6, 1.0: 22}",0.0019980019980019,0.0058764764647117,True,0.976279203125
"[{'days'}, {'of'}]",0.6179172543469671,0.8241758241758242,27,"{0.0: 13, 1.0: 14}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{'only'}, {'i'}]",0.6176902261789003,0.8561224489795918,69,"{1.0: 49, 0.0: 20}",0.0009990009990009,0.0038423115346192,True,0.976279203125
"[{'USER'}, {'i'}, {'thought'}, {'was'}]",0.6143840794733468,0.6785714285714286,20,"{1.0: 14, 0.0: 6}",0.0009990009990009,0.0032225838677451,True,0.976279203125
"[{'only'}, {'of'}]",0.6140571852210666,0.8345864661654135,33,"{1.0: 19, 0.0: 14}",0.0009990009990009,0.0032225838677451,True,0.976279203125
"[{'it'}, {'raining'}]",0.6125036280250409,0.8285714285714285,27,"{1.0: 20, 0.0: 7}",0.0079920079920079,0.0166500166500166,True,0.976279203125
"[{'.'}, {'school'}]",0.6123484422739964,0.832535885167464,30,"{1.0: 19, 0.0: 11}",0.0009990009990009,0.0047571476142904,True,0.976279203125
"[{'USER'}, {'late'}]",0.6021210687991445,0.8421052631578947,31,"{0.0: 12, 1.0: 19}",0.0009990009990009,0.0032225838677451,True,0.976279203125
"[{'wish'}, {'was'}]",0.5979876037239156,0.863095238095238,55,"{0.0: 7, 1.0: 48}",0.0029970029970029,0.0063766021212829,True,0.976279203125
"[{'bad'}, {'.'}]",0.5937088994352823,0.8663663663663664,55,"{0.0: 18, 1.0: 37}",0.0009990009990009,0.0032225838677451,True,0.976279203125
"[{'i'}, {'please'}]",0.5915899506556646,0.8550724637681159,35,"{1.0: 23, 0.0: 12}",0.0019980019980019,0.0071357214214357,True,0.976279203125
"[{'at'}, {'night'}]",0.5909037848076062,0.84375,24,"{1.0: 16, 0.0: 8}",0.0029970029970029,0.0069697744116348,True,0.976279203125
"[{'.'}, {'only'}]",0.5908025014786134,0.8726467331118494,64,"{0.0: 21, 1.0: 43}",0.0009990009990009,0.0038423115346192,True,0.976279203125
"[{'bad'}, {'!'}]",0.590660245898528,0.8478260869565217,27,"{1.0: 23, 0.0: 4}",0.0159840159840159,0.0216000216000216,True,0.976279203125
"[{','}, {'probably'}]",0.5898107573714604,0.8461538461538461,25,"{1.0: 12, 0.0: 13}",0.0019980019980019,0.0071357214214357,True,0.976279203125
"[{'i'}, {'to'}, {'miss'}]",0.5879373793817093,0.7685185185185185,31,"{1.0: 27, 0.0: 4}",0.0029970029970029,0.0063766021212829,True,0.976279203125
"[{'USER'}, {'thought'}]",0.5824655518374272,0.88203125,72,"{0.0: 40, 1.0: 32}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{'USER'}, {'sorry'}]",0.5800754564972322,0.9048433048433048,201,"{0.0: 45, 1.0: 156}",0.0009990009990009,0.0047571476142904,True,0.976279203125
"[{'last'}, {'..'}]",0.5792579144742971,0.85,20,"{1.0: 10, 0.0: 10}",0.0049950049950049,0.0101938877449081,True,0.976279203125
"[{'i'}, {'sorry'}]",0.576944113980331,0.8955294117647059,110,"{1.0: 85, 0.0: 25}",0.0009990009990009,0.0032225838677451,True,0.976279203125
"[{'making'}, {'me'}]",0.57206182197832,0.8611111111111112,22,"{0.0: 4, 1.0: 18}",0.0209790209790209,0.0308515014397367,True,0.976279203125
"[{'my'}, {'days'}]",0.5689559637168271,0.8703703703703703,27,"{0.0: 9, 1.0: 18}",0.0069930069930069,0.0158931977113795,True,0.976279203125
"[{'!'}, {'soon'}]",0.5686875858776325,0.8725490196078431,29,"{0.0: 17, 1.0: 12}",0.0019980019980019,0.0058764764647117,True,0.976279203125
"[{""n't""}, {'last'}]",0.5684325212624843,0.8666666666666667,23,"{1.0: 18, 0.0: 5}",0.0259740259740259,0.0316756414317389,True,0.976279203125
"[{'my'}, {'stuff'}]",0.5669879507796183,0.8645833333333333,20,"{1.0: 12, 0.0: 8}",0.0089910089910089,0.0183489979408346,True,0.976279203125
"[{'miss'}, {'my'}]",0.5652699029372179,0.8970588235294118,73,"{1.0: 68, 0.0: 5}",0.0369630369630369,0.0440036154321868,True,0.976279203125
"[{'...'}, {'work'}]",0.5650326707310862,0.8906976744186046,53,"{1.0: 43, 0.0: 10}",0.0079920079920079,0.0166500166500166,True,0.976279203125
"[{'nt'}, {'go'}]",0.5645158763890472,0.888157894736842,46,"{1.0: 38, 0.0: 8}",0.0129870129870129,0.0216450216450216,True,0.976279203125
"[{""n't""}, {'even'}]",0.5642143671304485,0.893421052631579,58,"{1.0: 38, 0.0: 20}",0.0009990009990009,0.0038423115346192,True,0.976279203125
"[{'oh'}, {'not'}]",0.5634341164268015,0.8739495798319328,24,"{0.0: 7, 1.0: 17}",0.0189810189810189,0.0260013958644095,True,0.976279203125
"[{'here'}, {','}]",0.5633599505796155,0.895959595959596,63,"{1.0: 33, 0.0: 30}",0.0019980019980019,0.0048731756048829,True,0.976279203125
"[{'to'}, {'only'}]",0.5630307787328181,0.8866666666666667,40,"{1.0: 30, 0.0: 10}",0.0069930069930069,0.0118525542254355,True,0.976279203125
"[{'this'}, {'me'}]",0.5623089395301812,0.9006410256410257,76,"{1.0: 52, 0.0: 24}",0.0019980019980019,0.0048731756048829,True,0.976279203125
"[{'not'}, {'or'}]",0.5621355912272272,0.8766233766233766,25,"{0.0: 11, 1.0: 14}",0.0039960039960039,0.0088800088800088,True,0.976279203125
"[{'good'}, {'luck'}]",0.5616862696692834,0.8921052631578947,48,"{0.0: 38, 1.0: 10}",0.0039960039960039,0.0105157999894842,True,0.976279203125
"[{'USER'}, {'guess'}]",0.5612426009833331,0.8995670995670997,68,"{0.0: 35, 1.0: 33}",0.0009990009990009,0.0038423115346192,True,0.976279203125
"[{""'s""}, {'raining'}]",0.56091448793148,0.875,22,"{1.0: 16, 0.0: 6}",0.0269730269730269,0.0369493520178451,True,0.976279203125
"[{'i'}, {'wanna'}]",0.559551158778363,0.9078260869565216,98,"{1.0: 75, 0.0: 23}",0.0029970029970029,0.0069697744116348,True,0.976279203125
"[{'sorry'}, {'i'}]",0.559409986628078,0.9054834054834054,85,"{1.0: 63, 0.0: 22}",0.0039960039960039,0.0105157999894842,True,0.976279203125
"[{'still'}, {'i'}]",0.5592544529516981,0.9068287037037036,91,"{1.0: 64, 0.0: 27}",0.0019980019980019,0.0058764764647117,True,0.976279203125
"[{'i'}, {'wish'}]",0.5584152903102986,0.9166666666666669,160,"{1.0: 132, 0.0: 28}",0.0009990009990009,0.0032225838677451,True,0.976279203125
"[{'USER'}, {'only'}]",0.5580214020255106,0.9117552334943638,114,"{1.0: 69, 0.0: 45}",0.0009990009990009,0.0032225838677451,True,0.976279203125
"[{'be'}, {'at'}]",0.557914828775747,0.904503105590062,74,"{0.0: 28, 1.0: 46}",0.0009990009990009,0.0047571476142904,True,0.976279203125
"[{'when'}, {'on'}]",0.5577975201838477,0.8857142857142857,29,"{0.0: 14, 1.0: 15}",0.0059940059940059,0.0107035821321535,True,0.976279203125
"[{'i'}, {'only'}]",0.5577024036939702,0.9099099099099098,100,"{0.0: 37, 1.0: 63}",0.0009990009990009,0.0047571476142904,True,0.976279203125
"[{'i'}, {'sad'}]",0.5573232891364819,0.9094202898550724,95,"{1.0: 92, 0.0: 3}",0.0529470529470529,0.0575511445076662,False,0.976279203125
"[{'USER'}, {'even'}]",0.556339966509448,0.9103815439219166,95,"{1.0: 46, 0.0: 49}",0.0009990009990009,0.0047571476142904,True,0.976279203125
"[{'love'}, {'on'}]",0.5563273498401224,0.8823529411764706,23,"{0.0: 17, 1.0: 6}",0.0209790209790209,0.0268961807423345,True,0.976279203125
"[{'USER'}, {'hate'}]",0.5563142593091984,0.8981481481481481,48,"{1.0: 36, 0.0: 12}",0.0109890109890109,0.0196232339089481,True,0.976279203125
"[{'more'}, {'my'}]",0.5558504581641985,0.8875,28,"{1.0: 20, 0.0: 8}",0.0189810189810189,0.0263625263625263,True,0.976279203125
"[{'but'}, {'...'}]",0.5557286547343878,0.9047619047619048,66,"{1.0: 45, 0.0: 21}",0.0029970029970029,0.0090818272636454,True,0.976279203125
"[{'call'}, {'me'}]",0.5552049656862321,0.8818181818181818,21,"{0.0: 10, 1.0: 11}",0.0189810189810189,0.0267338295507309,True,0.976279203125
"[{'sorry'}, {'a'}]",0.5550764681211837,0.8914285714285713,32,"{1.0: 25, 0.0: 7}",0.0149850149850149,0.0237857380714523,True,0.976279203125
"[{'oh'}, {'in'}]",0.554814172595658,0.8917748917748918,32,"{0.0: 11, 1.0: 21}",0.0079920079920079,0.0126857269714412,True,0.976279203125
"[{'you'}, {'better'}]",0.5547353742023785,0.8846153846153846,23,"{1.0: 13, 0.0: 10}",0.0059940059940059,0.0139395488232697,True,0.976279203125
"[{'me'}, {'when'}]",0.5547080074621826,0.8925619834710743,33,"{0.0: 22, 1.0: 11}",0.0059940059940059,0.0107035821321535,True,0.976279203125
"[{'USER'}, {'wish'}]",0.5538138850424374,0.9172368849788204,126,"{1.0: 93, 0.0: 33}",0.0019980019980019,0.0071357214214357,True,0.976279203125
"[{'do'}, {'just'}]",0.5536595500539953,0.9044665012406948,57,"{0.0: 31, 1.0: 26}",0.0009990009990009,0.0047571476142904,True,0.976279203125
"[{'i'}, {'whole'}]",0.5535701228782367,0.890625,28,"{1.0: 16, 0.0: 12}",0.0129870129870129,0.0216450216450216,True,0.976279203125
"[{'wish'}, {'i'}]",0.552155677517187,0.9215625,153,"{1.0: 128, 0.0: 25}",0.0049950049950049,0.0097941274411862,True,0.976279203125
"[{'i'}, {'i'}, {'watch'}]",0.5517886820008183,0.7676767676767677,20,"{0.0: 9, 1.0: 11}",0.0009990009990009,0.0034448310310379,True,0.976279203125
"[{'you'}, {'get'}]",0.5517677791882167,0.9169811320754716,108,"{0.0: 55, 1.0: 53}",0.0009990009990009,0.0032225838677451,True,0.976279203125
"[{'better'}, {'!'}]",0.5513229104347188,0.8977272727272727,34,"{0.0: 22, 1.0: 12}",0.0079920079920079,0.0150792603622792,True,0.976279203125
"[{'do'}, {'me'}]",0.5507007113887878,0.916190476190476,95,"{1.0: 60, 0.0: 35}",0.0009990009990009,0.0047571476142904,True,0.976279203125
